y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
32.2,29.30861255301178,29.374874114990234,28.71692769090052,30.143775109150138,29.787714684486403,15
25.4,27.71493640483773,27.76267433166504,28.09600828186926,27.512646752546328,27.8501012503306,15
27.0,27.491628533148347,27.553022384643555,27.471804028537683,27.605453157136342,27.11934758249917,15
32.2,33.40748746386133,35.348140716552734,35.38252257093422,33.348607402842866,31.769086951573737,15
26.4,27.7423926409922,27.31357192993164,27.172346483820796,28.066575313398776,27.87083869647978,15
30.5,31.635228388734546,33.57581329345703,34.12360767036622,31.100906231751043,30.27996055603028,15
25.7,26.631453693197376,26.377111434936523,26.54201605224612,26.884938014040735,27.321232175827014,15
28.1,27.69727848271141,27.39711570739746,27.648314050326064,28.701555110677596,26.944962313969917,15
29.1,28.187154664981772,27.790180206298828,27.822366003663188,28.59391801813302,27.783293311119067,15
22.355,26.617661193224627,26.704471588134766,26.565890662417512,27.05177813216785,26.23226075490315,15
28.657,30.39812400340768,30.194744110107422,31.084739545737573,29.09329193978254,30.344716083208716,15
21.96666666666667,30.540611125636147,30.946578979492188,30.13283267119531,30.61450225156812,31.175741086641942,15
29.93,31.472888996636378,30.705366134643555,30.890353734237443,30.877374431444075,32.670564455668135,15
28.02,29.46943176213712,29.27692222595215,30.448547783081693,29.30846752928906,29.700955980300893,15
26.67,29.13079268836843,29.311046600341797,29.211805665986923,28.280560098693055,29.957586439132676,15
31.64,27.919442799013872,27.263689041137695,27.370059771723064,28.835604972265795,28.655169482231138,15
35.03,35.79265281937006,35.57857894897461,36.00969514399996,35.08876711131536,36.524559448877945,15
40.55,39.862371371864704,40.567447662353516,41.890979922320085,38.900556089416845,39.71296897621155,15
38.22,35.656129508442795,35.666568756103516,35.59746563971774,35.61614201922424,35.829770263417565,15
31.25,31.591171566444366,31.516942977905273,31.547185329948167,31.09712615737071,32.14400309848782,15
38.98,36.33162274846511,36.45619201660156,35.43984889456583,35.78339635489476,37.004381298700956,15
37.94,35.794477845958525,35.778079986572266,36.0049746813906,36.91358798285006,34.43620932350158,15
36.7,36.63064944418265,37.355106353759766,37.67878116227169,35.31872712519309,35.09243171641032,15
29.73,30.524203191004,30.08797836303711,29.929232369208755,31.547520585828998,31.12106912784577,15
35.72,36.207715466389246,35.7539176940918,36.76012214658994,35.950040520835344,35.0511120944977,15
33.92,36.75256091133322,36.924137115478516,38.077431950933125,37.38017473600571,35.52321544100444,15
32.35,33.26796086951437,32.446319580078125,32.91034933819126,32.98648224304824,34.08705433076222,15
34.62,35.53141356337749,35.09023666381836,35.900831735119056,35.716627485932946,35.691531496556586,15
24.21,29.588466657766475,30.223888397216797,29.498768180962173,29.67729335176443,29.31864264551797,15
26.8,30.329729146908043,30.632858276367188,30.42193917769021,29.677040510134617,30.610436703681938,15
29.92,25.879114374124825,25.976716995239258,25.99635101442674,25.421846297288912,26.051150459925353,15
34.49,31.92272442303015,33.033905029296875,31.871744753786242,30.777678892420784,31.622459612846377,15
31.21,29.98625241813735,29.93792152404785,29.290345724678446,30.223303400820544,29.859353875795993,15
36.27,37.08039334718027,37.833709716796875,37.97747283724602,35.24861257231228,36.42435628089907,15
34.49,31.317965844129986,31.814184188842773,30.97026669235543,30.604532289014525,31.732790642420458,15
35.72,33.34472508828844,33.72831726074219,33.91315059556072,32.89241616380315,33.41524994023642,15
31.19,31.64414956635754,31.167383193969727,31.131999362295943,30.034051341885693,34.36859786300656,15
35.35,35.24056594115105,35.50798034667969,35.674324536314614,35.35362673139162,34.82977517477673,15
25.72,23.870366736628192,22.01463508605957,24.145976562132102,23.72387566103545,24.32467642720542,15
31.67,33.72082112941897,33.7069206237793,34.14613597119817,32.54695642058202,34.27162025705975,15
31.18,31.270966886600352,32.014259338378906,32.99541020312191,30.96246028694878,30.629106926600134,15
29.4,27.08480186392176,27.575279235839844,26.920402532124317,26.65490160217345,27.598069180806483,15
23.3,27.970679467812033,28.103822708129883,27.15952079784447,28.462028856259575,29.28565586980184,15
35.35,35.04278311480274,34.87180709838867,35.0347271687325,34.93387592546952,35.28016611480713,15
35.35,35.10642741246742,35.177833557128906,34.95835198659348,35.31163305252521,35.22624078146618,15
27.3,28.371120989959344,29.06022071838379,29.031827950652143,28.40586005149822,27.74869342231751,15
36.6,32.48160495537628,31.97248077392578,34.47767364308396,32.106341903705484,32.3364965947469,15
37.0,34.489146636649004,34.66457748413086,33.587674753454706,34.58530448689114,34.34018015925089,15
34.1,31.346921613435498,31.89963150024414,32.795759745069475,31.002403691393866,30.869938668568945,15
30.8,31.14145779241271,31.567975997924805,31.411481918052942,30.210568365672184,30.577391705830895,15
29.2,27.20835019751678,27.592716217041016,29.565326714781012,27.092880430155947,26.23018332417806,15
28.2,25.692200678746538,25.415456771850586,25.337472098012466,26.93620236023218,25.47199845250447,15
33.3,33.48201315068709,35.35837936401367,35.83940344612787,31.98046138472232,33.040998079299925,15
28.4,31.51854868526486,27.631145477294922,31.92199909980072,31.490812930239866,32.11403543949129,15
29.6,33.984937709066166,34.20064163208008,33.92461013042746,33.71394776673464,34.35090779622397,15
