y_true,Concrete_Class,y_cb_standard,y_cb_group
32.2,15,30.442936551575418,37.85033899410312
25.4,15,28.26796586668686,34.22677408659082
27.0,15,26.61679887361825,33.682072764930666
32.2,15,34.91318263845581,40.70107123054213
26.4,15,27.325087088610413,34.44003941334309
30.5,15,32.593596311213105,35.72328672778164
25.7,15,27.23930899298102,35.28319739672192
28.1,15,28.10887182013401,36.39601608538861
29.1,15,29.107365805608847,35.170087262729034
22.355,15,26.70897315633265,33.706958879657535
28.657,15,29.811029874934807,34.925709926482625
21.96666666666667,15,30.437533950184193,33.7841831964689
29.93,15,30.537963780711678,36.46852294689551
28.02,15,30.283850462746702,35.207840113115886
26.67,15,29.265418142771207,33.75567006335454
31.64,15,28.603393723553907,34.54456978826026
35.03,15,35.46840872596404,38.253360396288045
40.55,15,39.18583201352812,41.70963066928119
38.22,15,34.99761779054618,38.35976642083504
31.25,15,32.37809893736922,33.767316843428375
38.98,15,35.93117107509134,37.91932342198005
37.94,15,36.18990777605494,38.70977563191219
36.7,15,35.87370089099719,41.01542313895146
29.73,15,31.863782046716008,33.25062043031794
35.72,15,36.06225393670392,37.65643887377888
33.92,15,37.3542119774771,36.75776783722992
32.35,15,33.61505038235809,34.170365910925184
34.62,15,35.79030825373325,37.703752748179454
24.21,15,29.551834309178656,33.55133012912758
26.8,15,30.103407004878438,34.02369758871593
29.92,15,25.176340442742173,34.341637247025105
34.49,15,31.620300839029788,34.55459873796665
31.21,15,30.28224565202667,33.0030329183336
36.27,15,37.23145066102088,38.48913784439028
34.49,15,31.07969493755788,32.77191139982827
35.72,15,33.38706959650304,37.33327276362138
31.19,15,30.973882131311964,35.17067284129233
35.35,15,35.47787671729543,39.77973893563467
25.72,15,23.08338223266306,32.342258249935625
31.67,15,33.693764866568344,36.592012063061055
31.18,15,31.25227460774631,37.20067052067225
29.4,15,26.507979443340712,33.74290010246589
23.3,15,28.088852637021922,32.12102034220864
35.35,15,34.98196601050615,39.00637398211574
35.35,15,34.93824484967841,39.34688805461914
27.3,15,28.084068266126604,33.44134128796868
36.6,15,31.85629593588072,38.339185139593326
37.0,15,35.537928947032064,38.62666865007833
34.1,15,31.38270229260691,36.592955946098186
30.8,15,30.28811857701868,33.15450842905768
29.2,15,27.50430226674893,33.01092736248576
28.2,15,26.739315201783683,32.96385056128427
33.3,15,32.043413231300946,39.82466491086283
28.4,15,30.595181205625998,33.87027194697771
29.6,15,35.278086846135636,37.718145327178384
26.48,15,31.78208594712842,35.06502085932868
38.21,20,34.80571650699366,34.1297647130848
35.2,20,33.62652821871772,36.87523992762221
45.2,20,42.84544580581117,44.488317478041324
36.166,20,38.817936036776246,38.01008671780165
40.192,20,39.22489365099523,42.625246701902256
38.476,20,36.26561660728059,40.9545220751907
37.365,20,36.90443742506848,38.75183555036874
32.551,20,36.0581115262602,39.33502477416366
28.922,20,37.081564039842974,41.30166617475596
36.375,20,32.519877191063316,38.887754128491196
