jid,group,outer,es,R2_Strength_28d,R2_Strength_7d,R2_Slump_30,R2_Slump_90,minutes
M1,GATE,standard,published,0.74483665203276,0.7181036432764591,0.4921203301434789,0.5470720616374283,1.7
M2,GATE,group,published,0.4962112229300078,0.3929473335007739,-0.1353595726407919,-0.0779569462271245,0.9
M3,FIXED,standard,inner,0.7229159445271867,0.6961938882345529,0.4266526956925756,0.5257908507787024,1.3
M4,FIXED,group,inner,0.3527459950654737,0.4561044129675885,-0.44190041744726,-0.3682283973158313,1.0
