y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
115,159.08888370542599,152.0382537841797,154.92990319921446,159.23129530805133,144.9570333333335,15
110,168.66761815423737,166.9175262451172,169.8504743738071,168.62711489481788,163.2967975580124,15
140,167.04241235957323,166.55999755859375,166.43902225934232,167.06307360513222,172.78675000000004,15
115,157.05591253706115,152.61798095703125,149.84500743976247,157.3028279028179,132.34933333333342,15
110,166.5643777431045,166.10543823242188,166.42679615006165,166.5690888086551,162.33358333333328,15
140,165.46703000120334,165.915771484375,166.50833551749074,165.43137368774748,156.41532998657223,15
100,166.36696093310752,166.03668212890625,166.38892057982773,166.3662089971246,162.4785833333333,15
100,165.44638611196214,165.915771484375,166.50833551749074,165.41002291165503,156.41532998657223,15
130,160.82838707053898,156.5340118408203,164.6242583763201,160.69840915859106,156.1446333333333,15
145,168.24869835735183,166.74276733398438,167.93564921757226,168.2594177798973,171.81491666666665,15
140,167.5075303338168,166.6265106201172,167.1201955734093,167.52079343124143,175.67691333516444,15
140,168.24869835735183,166.74276733398438,167.93564921757226,168.2594177798973,171.81491666666665,15
35,158.71283107713137,151.17416381835938,146.63043148926474,159.12655585335904,129.54816666666673,15
68,157.79600733476175,151.1323699951172,146.79230139764647,158.17279554754865,132.02716666666674,15
52,157.75372235470346,152.50845336914062,148.83084388102426,158.0592590016798,135.9801666666668,15
18,158.4505917291059,152.07997131347656,154.93680897731866,158.57091050725376,145.77353333333352,15
27,156.1773332812297,152.9672088623047,149.06178978185352,156.42098326889982,128.87353333333346,15
40,156.1375032507622,151.59112548828125,146.8414794205621,156.45581711033793,123.12870000000011,15
28,157.68520121084046,152.90899658203125,161.10325806394798,157.56816040304116,143.2156666666667,15
30,157.8116936102086,152.27175903320312,147.50517067430965,158.16460891877145,132.1458666666667,15
20,157.49123553389822,147.09275817871094,146.45150520342455,157.8692573348571,124.17736666666676,15
28,158.54591285159447,147.7733917236328,147.02246355731154,158.9404981256833,132.87419999999997,15
43,159.2408000097379,147.815185546875,146.9935143036908,159.660170847979,130.09153333333336,15
34,158.60681054537815,153.62374877929688,148.50205941278966,158.95281679087495,136.14936666666677,15
27,158.6872290136976,152.3135528564453,147.44754502538967,159.07209756816965,129.55836666666673,15
22,160.33041406404075,153.49002075195312,161.92773084230035,160.27571893266193,150.37950000000006,15
52,158.6872290136976,152.3135528564453,147.44754502538967,159.07209756816965,129.55836666666673,15
39,159.37241641117336,147.815185546875,146.9935143036908,159.79629405034217,130.87903333333338,15
168,167.86772950934724,166.74276733398438,166.75648120794418,167.90578080870748,167.90050332845044,15
155,168.24869835735183,166.74276733398438,167.93564921757226,168.2594177798973,171.81491666666665,15
173,168.57951502319997,167.10995483398438,169.652413436128,168.5427769271662,167.12998904273616,15
152,167.14164351584313,166.6265106201172,165.9410275637812,167.18275492910456,167.95854930790492,15
146,167.74250781676585,166.9936981201172,167.3701012875229,167.7552597432383,168.656645714896,15
168,167.86772950934724,166.74276733398438,166.75648120794418,167.90578080870748,167.90050332845044,15
152,167.00360092351244,166.7793426513672,165.96585942445728,167.03913520092698,156.56451666666663,15
27,166.4296797012033,166.47804260253906,164.2747399891521,166.5034689976246,160.95167761957072,15
145,157.30584992537476,153.51113891601562,147.14178640895418,157.65388712997924,128.3673333333334,15
145,159.0513449220599,155.97894287109375,163.9995272369264,158.88190964467216,149.27163333333328,15
170,167.86772950934724,166.74276733398438,166.75648120794418,167.90578080870748,167.90050332845044,15
150,166.70410631095157,166.22860717773438,165.87956797554727,166.73234010433185,152.35525,15
155,167.7474331251481,166.30711364746094,169.6282757398414,167.6830294620636,157.6643833333332,15
155,166.95958051755636,166.53724670410156,165.78648434338334,166.9997496032155,153.94714999999997,15
170,168.67325483123142,166.86785888671875,171.20708204647542,168.58649171828984,161.19508333333323,15
170,159.0513449220599,155.97894287109375,163.9995272369264,158.88190964467216,149.27163333333328,15
155,159.0513449220599,155.97894287109375,163.9995272369264,158.88190964467216,149.27163333333328,15
160,166.8223584272283,166.63829040527344,165.8762730316214,166.85475422188443,157.88062095787404,15
150,168.01372817765827,166.6952667236328,167.93495901583745,168.01642539829632,175.8273699951172,15
155,167.67785560481028,166.6952667236328,167.2336223390959,167.69306701806426,175.66191333516446,15
155,167.5714913672703,166.8203582763672,167.43186360722703,167.57627250149582,160.6392926217941,15
160,160.82838707053898,156.5340118408203,164.6242583763201,160.69840915859106,156.1446333333333,15
160,169.21894928002538,167.1787109375,171.0569630393478,169.1560121632339,170.34165570940286,15
160,168.7095110408463,166.2259521484375,172.54437526725042,168.5781979164236,162.35987856750484,15
125,167.69924708087325,166.5503387451172,166.23061954616855,167.7495357367652,162.33600153750456,15
125,156.26817517573508,153.73367309570312,147.49379423628844,156.56862695330585,124.0135133260092,15
125,169.1607844065076,167.02940368652344,170.14160288381396,169.1271993127134,167.08241666666663,15
125,164.32745056423215,161.49465942382812,163.5707152199195,164.35336267295997,170.16303095238104,15
155,161.18923401072124,156.48789978027344,164.65271332192523,161.0706378474639,154.0493,20
155,169.28844808070448,167.1596221923828,171.10266151274053,169.22632593398794,170.6136823614211,20
170,167.9624022053275,166.15936279296875,171.42120458527165,167.84396615717353,160.64794142281664,20
155,166.8014129622525,166.43408203125,165.36760858186838,166.85050919932252,154.57307617732454,20
45,158.85506995280977,151.1594696044922,146.63043148926474,159.2736652650353,127.51250000000009,20
35,159.44141605017745,146.66110229492188,146.6893077237367,159.87807300466923,129.35500000000005,20
45,158.85506995280977,151.1594696044922,146.63043148926474,159.2736652650353,127.51250000000009,20
50,155.8633826045993,150.43704223632812,146.22134304375948,156.19354472101472,120.80633333333346,20
40,155.8633826045993,150.43704223632812,146.22134304375948,156.19354472101472,120.80633333333346,20
60,157.44016459454565,145.9386749267578,146.18497120373294,157.8255642790569,123.25066666666679,20
60,158.6601352495866,152.46966552734375,147.7060109726532,159.035225685489,132.4881666666668,20
165,166.7241171880634,166.24871826171875,165.7559795865799,166.7572680976153,151.97275,20
175,169.06545625158031,166.9175262451172,171.46638411277857,168.98324387284956,161.6026433308919,20
140,156.36328084074466,153.7527618408203,147.46421556212204,156.66800205110061,125.99833333333342,20
150,158.65584078959546,154.41781616210938,148.16090545443498,159.01520768798312,133.00688666788744,20
150,158.11760931174817,157.05978393554688,162.58126567959255,157.29332982221365,156.26728571428575,25
145,150.66666588460538,150.67445373535156,155.9642905621305,149.00282292347742,152.2238666666667,25
145,154.6278761001593,152.7236328125,159.49321315308975,153.6391039422793,153.1055,25
140,159.05747839588673,156.2511749267578,165.16696610817837,157.4588683679249,159.10022857142857,25
110,155.5136331533515,151.8250732421875,157.67391994193687,155.0046829861177,155.22046666666668,25
140,153.9797678663553,154.66473388671875,156.6509739083589,154.43341611363877,147.6883333333334,25
140,153.38533336618895,153.17620849609375,155.929376865645,153.4786281416813,149.24800000000002,25
160,158.41875461589035,156.8782196044922,163.71112238664878,157.3000291091675,156.9990952380952,25
165,159.15696451841796,159.474853515625,160.08312773387678,158.25382440630955,162.78112772793247,25
150,156.70333039621553,158.54025268554688,155.65664654033887,157.92732716648763,151.49437395319868,25
200,158.19967128988313,159.25721740722656,159.84026944271557,157.43382047620733,160.05377777777778,25
200,159.27529726724524,159.13462829589844,164.30065043367608,157.91180809911387,159.5762777777778,25
180,155.66602924057688,157.7879180908203,153.37785098011204,157.52891561714958,148.72911111111117,25
140,157.93260672656805,158.84432983398438,159.7886614012544,157.18166675306244,159.39794444444445,25
170,158.39636000704184,159.59666442871094,158.55536019274712,157.8012159909185,161.42793774074988,25
