true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
32.2,25.2,180,115,42.35981369018555,33.210269927978516,181.30160522460938,169.70925903320312,15
25.4,20.0,95,110,39.31260681152344,32.64960479736328,189.3656768798828,179.42977905273438,15
27.0,20.4,150,140,39.81371307373047,33.30274200439453,197.31256103515625,182.117919921875,15
32.2,27.2,50,115,42.62562561035156,32.42886734008789,174.45994567871094,157.69932556152344,15
26.4,22.1,150,110,40.1962776184082,33.35056686401367,199.45823669433594,180.65200805664062,15
30.5,26.2,120,140,40.41805648803711,34.10975646972656,199.23570251464844,180.468994140625,15
25.7,18.8,140,100,40.34318923950195,33.44359588623047,197.29653930664062,180.12364196777344,15
28.1,19.2,170,100,40.27397918701172,33.932430267333984,199.2339324951172,180.42115783691406,15
29.1,18.9,175,130,40.099143981933594,32.53563690185547,187.67709350585938,173.99014282226562,15
22.355,18.349,175,145,39.529911041259766,33.12140655517578,193.95668029785156,180.06179809570312,15
28.657,24.302,180,140,39.79083251953125,33.235511779785156,194.22059631347656,178.78358459472656,15
21.96666666666667,21.888,155,140,39.529911041259766,33.12140655517578,193.95668029785156,180.06179809570312,15
29.93,25.7,65,35,42.00642395019531,33.043479919433594,183.6198272705078,164.06463623046875,15
28.02,16.969,62,68,42.655029296875,33.294677734375,182.38983154296875,165.0120849609375,15
26.67,19.255,62,52,42.296817779541016,32.98170852661133,181.82427978515625,166.7408905029297,15
31.64,21.604,22,18,42.4509391784668,33.388336181640625,181.30052185058594,169.1317596435547,15
35.03,28.8,77,27,41.96165466308594,32.88606262207031,181.3360137939453,168.65037536621094,15
40.55,35.188,56,40,42.29551315307617,33.14008331298828,182.52835083007812,167.2873992919922,15
38.22,30.097,53,28,42.044044494628906,33.219093322753906,180.72494506835938,170.23521423339844,15
31.25,22.746,45,30,41.76885223388672,32.93568420410156,183.4675750732422,167.491455078125,15
38.98,30.83,22,20,42.55635070800781,33.336429595947266,183.36923217773438,166.43397521972656,15
37.94,27.05,30,28,42.090721130371094,33.17443084716797,184.17124938964844,166.3812255859375,15
36.7,28.1,27,43,41.600563049316406,33.066280364990234,184.7403564453125,165.89608764648438,15
29.73,21.39,32,34,40.89733123779297,32.559791564941406,185.19656372070312,169.00738525390625,15
35.72,29.75,28,27,41.27986145019531,32.82720184326172,184.47454833984375,167.02662658691406,15
33.92,29.72,23,22,40.75794219970703,33.09938049316406,189.07061767578125,172.37770080566406,15
32.35,25.23,50,52,41.27986145019531,32.82720184326172,184.47454833984375,167.02662658691406,15
34.62,29.48,23,39,41.612510681152344,33.07538986206055,184.7660675048828,165.8561248779297,15
