y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
32.2,32.26728563095972,32.898094177246094,32.609408547285625,36.715989105230335,31.600063465436307,15
25.4,30.04860509446313,31.137569427490234,30.20093172320049,33.45920648065271,29.617750205357865,15
27.0,31.475783937095155,31.34230613708496,31.595645144411098,33.83627870512671,31.166996996561686,15
32.2,39.08142384072892,38.124515533447266,40.64648796323306,40.58810341254387,37.792278885523466,15
26.4,31.85844043529268,32.7724723815918,32.30306934168509,34.31780815055187,31.302143680572517,15
30.5,33.864783870541245,33.78466033935547,33.77690461746424,36.09550257191259,33.720543521245325,15
25.7,32.11111122384844,33.091224670410156,32.825872186564226,35.152915063709585,31.302143680572517,15
28.1,31.58326922265089,33.04616928100586,31.6760929643256,34.94638399247359,31.20051033846538,15
29.1,31.20630758706849,32.48896789550781,31.806627883622852,34.40458786850026,30.466656753540068,15
22.355,30.739711411272246,31.22735595703125,30.242784479306135,31.780919756268684,31.00685364151001,15
28.657,31.840788925371967,32.49901580810547,31.601495667776167,33.90324359747645,31.823373460769687,15
21.96666666666667,31.11125331299227,31.00958824157715,30.962233083830597,32.77034672696607,31.065350327809657,15
29.93,33.144215516313814,31.554941177368164,32.20622790836756,34.83681210718923,33.673987326622026,15
28.02,31.860032734180304,32.17283630371094,33.056339068179845,35.33872260159952,30.65691344261172,15
26.67,31.033416931678367,31.92255210876465,31.256850901587615,34.41586085878254,30.55303010431928,15
31.64,30.781430215819896,32.006038665771484,30.506992612185005,34.665889281531804,30.619326780955024,15
35.03,38.91581029939775,39.83531951904297,39.06531544233789,37.725505152302304,38.917496637662246,15
40.55,43.03337444660613,41.52051544189453,43.062415607020725,41.32131823802192,43.172252890014654,15
38.22,38.732641022000976,38.678768157958984,37.92905316376548,38.67502510978777,39.327567134221404,15
31.25,31.046739235424123,32.05432891845703,31.08838469001522,34.111580050224234,30.729433423678106,15
38.98,39.224143289838445,37.949623107910156,39.013906197811814,37.905935688006764,39.50171384811403,15
37.94,38.4897815954761,37.62150573730469,39.756681625673295,38.16589984978745,37.59064998404185,15
36.7,39.56136048361381,39.3059196472168,39.85929208214979,40.3928939362097,39.26498902861276,15
29.73,30.733551471866758,31.670387268066406,31.05426644052307,33.57396614838805,30.232509965260817,15
35.72,38.838037136593115,38.881568908691406,39.64503156766105,37.743275711856015,38.34843091392519,15
33.92,38.38438056033499,38.991939544677734,38.75523218511482,37.491433902490215,38.195859141031924,15
32.35,32.13376767887756,31.158554077148438,31.552285995493197,32.83364493691722,32.4948774518967,15
34.62,38.15246569569024,38.881568908691406,38.195525909247486,37.71439954522976,38.161861936569224,15
24.21,30.366208623100412,30.913827896118164,29.37438869799739,31.6902422737613,30.969956973393757,15
26.8,30.92715950985891,31.040281295776367,30.554790905710025,32.56545823700161,31.047056989669805,15
