fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,613,7,0.007717671841362193,0.8481148210188146,0.8897679021763424,6,0.022632615199577065,1.8085271976534424e-05,535,10,0.043641260046548475,0.9216614602553228,0.8512096902383962,7,9.643675339314489e-06,5.274026615874916e-07,111,1462,4,0.011056762501833942,0.039116696382601186,0.8090356866983779,21
2,1169,3,0.01117711814906152,0.8690300987240347,0.8663774018976558,9,0.008431140174450397,0.011068246972536614,378,3,0.07714237786576601,0.6710289152408703,0.8450043209579898,14,6.63765459296934e-06,0.004482794287537282,33,842,4,0.056132449754606184,2.6202689473831895,0.6424669428656172,12
3,885,7,0.02740549317098687,0.7410239509774482,0.5003261868384801,9,0.006150838030545328,2.8984969114660475e-06,508,7,0.05454342618061751,0.8329493835467566,0.7091539174608119,5,0.00511112085870318,8.083786965725372e-05,111,551,4,0.10406238750954566,0.4479206619544708,0.6256677887294868,19
4,1295,5,0.012235802845287864,0.9747396339448784,0.8925109289940776,10,5.806377928947348e-06,1.5344131037481966e-05,394,5,0.03406259724226579,0.6594189577934165,0.8904511627251075,10,0.0005246947697934981,0.050840482101899,38,1421,4,0.011707389182752766,0.04606634190932638,0.6430752903145874,18
5,1282,6,0.0061276549808987,0.7858713050901388,0.8571397199246957,13,4.3266792210303444e-06,0.002774954743203439,862,3,0.01239513058296384,0.6495285176720492,0.8538082561166268,14,6.387803059103052e-06,6.827535855699613e-05,30,1402,4,0.013087034652323158,0.00645131168762682,0.90067410125085,6
