phys_lambda,R2_Strength_28d,R2_Strength_7d,R2_Slump_30,R2_Slump_90,pct_monotonicity_violations,minutes
0.0,0.35114106711719384,0.4287157973192025,-0.5280473089353694,-0.23642853983387324,0.0,0.9
0.05,0.3347262617107146,0.4506764760310261,-0.3253620945909972,-0.3297622549129309,0.29282576866764276,0.9
0.1,0.35274599506547377,0.4561044129675885,-0.44190041744726005,-0.36822839731583135,0.0,1.0
0.5,0.23625683142818354,0.47638917199772957,-0.5149233890131164,-0.29715558603426273,0.0,1.3
