y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
32.2,28.87723637276288,28.757083892822266,28.159920440366122,29.56978481989708,28.93647101275126,15
25.4,28.190724058647206,27.56296730041504,28.54131830755194,28.329844460448722,28.800630525589025,15
27.0,27.65496949838329,27.756681442260742,27.687410833294916,25.74578301325581,27.77634641265873,15
32.2,33.917330986297415,35.46182632446289,34.948901796408585,36.8680039142063,31.346972354253154,15
26.4,27.317187133399305,27.066837310791016,27.252634048235933,27.513745712290994,27.551847731908126,15
30.5,31.278829753074028,33.294036865234375,34.06888817126622,32.28489539318521,29.107816657384223,15
25.7,26.78706723191308,26.469945907592773,26.229398802171588,26.51259526065674,27.54435986773177,15
28.1,27.445132220302536,27.48407745361328,26.86179471678549,27.930225477515616,26.885802924474064,15
29.1,28.5606899494917,28.442136764526367,28.048577916449574,28.78807096461709,28.638992368698073,15
22.355,26.42196561693234,26.371257781982422,26.197359696330572,26.65583618792701,26.24995403162638,15
28.657,30.98891593509751,30.48928451538086,30.462351601695715,29.816217129015012,32.16706612841288,15
21.96666666666667,30.756797043276684,30.87305450439453,31.31105893279914,30.1934928356361,30.99266547838847,15
29.93,32.23479277380028,31.254718780517578,31.03400538651423,31.576871049335416,33.35064517529804,15
28.02,30.17689224312521,29.988258361816406,30.669782082636225,30.3609276739802,30.351520481109624,15
26.67,30.047591892427945,29.508255004882812,29.714164723077396,29.942490858379383,30.585240821838383,15
31.64,27.33738561480348,27.502723693847656,26.77285351777671,27.634949815238876,28.807869967778537,15
35.03,35.78736597456688,35.56386947631836,35.75428248122338,35.102038906725205,36.2689065834681,15
40.55,39.84882554235098,40.889583587646484,41.49377945402791,39.98912782957688,38.88369532140097,15
38.22,35.653022205762866,36.04348373413086,35.50605266443168,35.47557999628141,35.96045598805746,15
31.25,32.01006933802232,31.88248634338379,31.329947751619514,32.69536778141516,31.853716980934134,15
38.98,36.39541190595328,35.84766387939453,35.563097676057865,35.997540333855746,36.959133894284555,15
