Cement,WC,fc28,Eff
488.2000496152977,0.3296650920826116,62.321149127089,0.1276549422233737
483.75046427231973,0.3363508069623877,61.782126861123615,0.12771486835482257
483.38942772698607,0.3246760817784385,61.58443922189981,0.12740129528997918
474.1331716547136,0.3487603607859947,61.48362491321225,0.12967585604406429
472.409159649939,0.3375503989946828,60.95749255075302,0.1290353739032564
471.72164931112843,0.3416783091693558,60.87655214004559,0.129051851296089
467.01859764536016,0.35616786449472965,60.420750465263204,0.1293754697776402
451.306649529241,0.3622975179493664,59.70450886036238,0.13229255301830872
450.3650073098762,0.36288860223426245,59.420049281527426,0.13193753581446244
450.19104844375977,0.3618908653180586,59.29899531498819,0.1317196233020971
447.49277492630046,0.36433933373597477,59.216763754493186,0.13233010022172056
446.9444041702703,0.3669061379530936,59.213306556011155,0.13248472517725704
443.81238276800406,0.3675639846694236,58.95136712175116,0.13282947797463115
442.389635712835,0.3728388713870353,58.75025625465702,0.1328020629597053
441.54330416253083,0.3657474584964422,58.696668849131555,0.13293524847004695
439.0407685562021,0.3672988555608856,57.85628953354883,0.13177885444172044
437.3411376964441,0.3805044161388468,57.27980369824981,0.13097282364049498
436.1417086803129,0.3598384280883133,57.261197292810046,0.13129034933639397
435.6749931492818,0.3652162775359138,57.181528934096974,0.13124813182588152
435.02313776459545,0.37434865138495993,55.51715023286782,0.12761884463927037
417.2343866170742,0.38845195939059735,55.060182755794216,0.13196463312197437
413.4997863637001,0.38748343275202846,54.56854733206794,0.13196753452266924
412.0049016889824,0.3882944355702204,54.26123773333647,0.13170046645293954
406.9505405609873,0.344829531547333,53.768598065424555,0.13212563372272157
402.9656726325526,0.3625523484870602,52.90504929285552,0.1312892211071721
400.89193999813267,0.33718185674294227,52.68819259977385,0.13142741807186062
399.6729684760002,0.3926685826278412,52.500857193136824,0.13135953975904033
398.29687283333976,0.35854305943810205,52.35626293471157,0.13145034898784938
397.983762120182,0.4077497202584385,51.652141171097206,0.1297845442133879
394.98980914666,0.3578700425216091,51.46287632133613,0.13028912424985611
393.54795741483264,0.3751247648508447,50.73710216222389,0.12892228559769328
393.0114258463429,0.36994001492643513,50.59625868544156,0.12873991787002997
391.1928837187314,0.3575665927618998,50.095280037568756,0.12805774880503035
390.53586495921337,0.3634897136951352,49.71897618902593,0.1273096292813426
387.82987764759787,0.3766998353319797,49.30539905298303,0.12713151279640308
382.5642269114471,0.3769203153121129,48.447050902632306,0.1266376924307835
380.8635923683493,0.39692722603918834,47.474743315166116,0.12465025344100436
378.4564730245278,0.3693128015921371,47.15087664177062,0.12458731717534866
376.9208351361931,0.36455341010102094,47.120298733859535,0.12501378098887403
374.731024110121,0.37154208895410795,46.83144156292126,0.12497348377848497
370.3323268018753,0.37332791307863633,46.69012372767496,0.1260762843224696
369.3105445657695,0.3715602362225155,46.183064700728416,0.12505211502972347
359.99984654159454,0.43774419252509666,46.18128223712915,0.12828139423052046
359.8609638875389,0.44951870039070363,45.85889945418245,0.12743504868873173
359.29857226260975,0.4490240456489357,45.83608925808281,0.12757103088230867
354.4644116657177,0.44692498763141775,45.70509756063591,0.12894128735196891
330.30391598774895,0.4455314913058315,44.673931287040176,0.13525098893679827
325.9306453629856,0.4515315542990699,44.66682026193793,0.13704394139493373
320.62462229367134,0.44154730793576813,44.384693953733574,0.13843195708494302
320.00475942196334,0.4368421825525518,43.577171903999925,0.13617663681851175
318.601480265277,0.4437679031685785,43.5541556606898,0.1367041848783167
318.43720260300546,0.44721699582478736,43.491681986718305,0.13657852044674326
317.01016093595496,0.44825290104423937,43.386103740182115,0.1368602937271381
313.03721066285215,0.44389040953174697,43.0851610293392,0.13763590896464653
311.28390637427657,0.44238125809933526,42.663437843736794,0.13705635585425932
308.71327712176014,0.4512491307734193,41.973086663212456,0.13596139127718104
307.2968392490769,0.4595012197838605,41.854109513821065,0.13620091119745154
292.0213288862517,0.4881725392455007,41.52189232644329,0.14218787540213174
291.2116234260503,0.4828974395556451,40.96024518027183,0.14065456831146436
290.11421128063444,0.4899440919356268,40.577025303801754,0.1398656933236222
290.0833833806208,0.47648090923671704,39.85292267417986,0.13738436931386902
