fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,372,3,0.006453174927460603,0.7623962621379341,0.6571490668638719,4,0.031746107186566785,4.0392488720387117e-07,387,10,0.005898112809620221,0.7840519174839108,0.565867928210068,9,0.037084051082613374,0.04038456550766585,85,338,4,0.008603565768362506,1.552528926322906,0.9353581733271004,16
2,1015,8,0.005485692079472148,0.9995943153475072,0.77166998635824,6,0.3162018944409166,9.112463102806173e-07,309,8,0.1419421176627547,0.9585145607706717,0.8981847846559887,9,6.334491621561254e-06,2.0897652768155942e-05,112,1148,10,0.008117091262317003,0.018624243751775422,0.7743370477929662,7
3,324,3,0.005858718011989175,0.8672188890638947,0.3281529012263784,18,0.0712860433064883,8.393353879604432e-05,307,9,0.005964781634298783,0.7474861288397876,0.5643631411875132,26,0.0003706023087724068,0.0013359031612228814,106,360,10,0.0058596698067472945,9.111388371376371,0.7571663403557561,16
4,533,6,0.005250343000802235,0.7987962817540957,0.5104602872904872,20,0.019459629875284868,2.1747285614449374e-06,539,3,0.05739250665376874,0.6829850692788367,0.5083244109753244,9,1.9120799408609535e-06,5.7655103168933414e-05,95,599,4,0.012770390172412795,0.021193542145041423,0.6187468828815075,13
5,335,6,0.00597451560967001,0.6461695447791392,0.41254611793807067,2,0.0005418787951247969,6.052919619170748e-05,1315,9,0.009682957733664326,0.6564731941347722,0.39554219389915857,17,0.0005761273477104965,0.011510612104911193,102,441,10,0.04507168696429677,4.312015448992393,0.6552445636792832,26
