true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
32.2,25.2,180,115,31.732452392578125,24.857200622558594,91.44075775146484,74.39315032958984,15
25.4,20.0,95,110,29.792009353637695,24.12918472290039,165.47747802734375,150.49679565429688,15
27.0,20.4,150,140,29.856992721557617,24.18931770324707,162.69224548339844,146.74649047851562,15
32.2,27.2,50,115,34.00601577758789,26.239112854003906,167.7313690185547,146.4385528564453,15
26.4,22.1,150,110,29.291820526123047,22.561979293823242,162.3280487060547,140.5389404296875,15
30.5,26.2,120,140,30.3872013092041,23.208803176879883,149.11598205566406,117.74897766113281,15
25.7,18.8,140,100,29.192813873291016,24.178918838500977,169.20773315429688,144.54449462890625,15
28.1,19.2,170,100,28.7445125579834,20.859567642211914,157.8994140625,136.28021240234375,15
29.1,18.9,175,130,32.220458984375,24.52253532409668,151.81471252441406,137.36509704589844,15
22.355,18.349,175,145,31.419309616088867,25.38498306274414,171.29412841796875,156.04180908203125,15
28.657,24.302,180,140,29.453964233398438,23.623090744018555,166.4460906982422,151.65206909179688,15
21.96666666666667,21.888,155,140,31.102407455444336,24.089359283447266,159.27847290039062,149.95791625976562,15
29.93,25.7,65,35,33.33159255981445,24.688447952270508,28.878753662109375,30.7398681640625,15
28.02,16.969,62,68,34.11198425292969,27.296876907348633,34.137542724609375,21.321502685546875,15
26.67,19.255,62,52,33.63317108154297,27.265457153320312,34.454833984375,17.779571533203125,15
31.64,21.604,22,18,31.922046661376953,24.3866024017334,82.60536193847656,62.928985595703125,15
35.03,28.8,77,27,32.331138610839844,23.560789108276367,41.3563232421875,35.794830322265625,15
40.55,35.188,56,40,32.79806137084961,24.150453567504883,44.352203369140625,37.63146209716797,15
38.22,30.097,53,28,33.0037727355957,26.229263305664062,119.56378173828125,99.24370574951172,15
31.25,22.746,45,30,33.16452407836914,24.343473434448242,29.080322265625,29.009735107421875,15
38.98,30.83,22,20,34.4593620300293,26.86666488647461,50.95600891113281,26.427276611328125,15
37.94,27.05,30,28,34.07979202270508,26.934444427490234,41.15303039550781,22.959487915039062,15
36.7,28.1,27,43,32.35497283935547,25.186962127685547,28.267990112304688,19.753524780273438,15
29.73,21.39,32,34,31.312088012695312,23.767915725708008,31.896697998046875,18.892410278320312,15
35.72,29.75,28,27,33.18004608154297,25.244155883789062,48.00798034667969,40.65978240966797,15
33.92,29.72,23,22,33.57683181762695,24.252614974975586,35.58638000488281,30.851486206054688,15
32.35,25.23,50,52,33.897220611572266,25.184614181518555,27.177444458007812,30.770767211914062,15
34.62,29.48,23,39,33.99163055419922,26.184642791748047,42.246490478515625,27.026123046875,15
24.21,19.59,165,168,31.20937156677246,24.631839752197266,162.93179321289062,150.49710083007812,15
26.8,22.09,168,155,31.216474533081055,24.781511306762695,164.5425567626953,153.4456329345703,15
29.92,21.57,149,173,29.937847137451172,24.96435546875,175.0787353515625,157.41796875,15
34.49,24.66,156,152,29.67557716369629,23.564096450805664,165.39198303222656,149.7196044921875,15
31.21,22.72,172,146,28.877389907836914,21.439489364624023,174.01048278808594,153.77926635742188,15
36.27,30.09,165,168,31.523305892944336,24.46455192565918,156.50440979003906,148.2725830078125,15
34.49,24.66,156,152,29.616207122802734,21.72654914855957,164.98097229003906,143.9744415283203,15
35.72,29.75,28,27,30.268848419189453,22.59425163269043,168.73446655273438,148.86776733398438,15
31.19,25.85,195,145,35.81950378417969,26.40707015991211,73.5845718383789,48.60514831542969,15
35.35,28.59,200,145,35.25040054321289,29.050342559814453,166.06814575195312,156.27638244628906,15
25.72,19.86,195,170,28.70069694519043,23.435537338256836,159.75840759277344,151.66317749023438,15
31.67,29.12,190,150,28.03940773010254,21.45853614807129,138.75518798828125,126.0825424194336,15
31.18,27.05,200,155,29.25687599182129,23.073211669921875,176.1168212890625,154.91114807128906,15
29.4,21.7,190,155,28.012563705444336,21.92307472229004,149.4084930419922,137.62173461914062,15
23.3,21.9,190,170,29.840974807739258,23.42840003967285,169.8178253173828,152.46578979492188,15
35.35,28.59,200,170,33.78293991088867,27.79686164855957,170.00503540039062,148.78933715820312,15
35.35,28.59,200,155,32.906150817871094,26.781339645385742,171.59283447265625,145.0779571533203,15
27.3,19.3,160,160,30.243406295776367,23.359256744384766,153.84947204589844,135.16517639160156,15
36.6,29.2,165,150,30.641340255737305,23.642436981201172,147.43052673339844,130.7852783203125,15
37.0,31.3,160,155,29.031278610229492,22.515888214111328,167.3961181640625,148.66378784179688,15
34.1,26.3,165,155,30.086891174316406,23.386112213134766,155.06173706054688,136.58731079101562,15
30.8,23.5,170,160,30.112144470214844,23.592679977416992,153.296630859375,132.78733825683594,15
29.2,22.6,170,160,28.651935577392578,22.544647216796875,155.9720458984375,139.5692138671875,15
28.2,20.5,175,160,28.504919052124023,23.911388397216797,175.42706298828125,150.36770629882812,15
33.3,32.8,140,125,30.140216827392578,24.28677749633789,162.9979248046875,149.40054321289062,15
28.4,26.2,140,125,31.239822387695312,23.749019622802734,142.8744659423828,119.50906372070312,15
29.6,28.84,140,125,31.273128509521484,25.972660064697266,173.89642333984375,152.7918701171875,15
26.48,25.78,140,125,29.992921829223633,24.847814559936523,168.1990509033203,150.89437866210938,15
38.21,25.97,140,155,40.64092254638672,32.25788116455078,164.6171417236328,139.8433837890625,20
35.2,26.3,170,155,31.176740646362305,22.92009735107422,178.96400451660156,157.53536987304688,20
45.2,34.9,160,170,32.692237854003906,25.84151268005371,176.86721801757812,154.0318603515625,20
36.166,30.941,175,155,36.36359405517578,29.169456481933594,150.9375,133.03187561035156,20
40.192,34.534,75,45,35.335472106933594,24.287818908691406,61.92316436767578,48.22966766357422,20
38.476,32.292,60,35,33.355690002441406,26.533252716064453,49.228416442871094,38.80284881591797,20
37.365,29.679,75,45,36.4676513671875,29.2850341796875,45.30909729003906,26.637313842773438,20
32.551,31.361,50,50,34.562747955322266,25.47905158996582,86.62217712402344,66.03839874267578,20
28.922,28.043,70,40,36.673728942871094,27.196754455566406,51.915748596191406,35.16166687011719,20
36.375,26.337,75,60,35.22041320800781,25.97223663330078,86.09148406982422,61.952491760253906,20
37.59,30.59,75,60,33.73202133178711,26.2449951171875,66.3238296508789,53.40623474121094,20
34.65,33.93,200,165,32.69880676269531,26.019847869873047,175.60165405273438,153.76678466796875,20
34.22,28.66,200,175,33.881473541259766,27.702938079833984,178.75633239746094,165.6519317626953,20
36.8,27.3,170,140,31.656408309936523,24.54450035095215,151.16995239257812,140.63441467285156,20
36.7,30.4,170,150,32.97947692871094,24.3492374420166,135.4342498779297,116.89689636230469,20
46.2,38.6,190,150,45.92008590698242,37.247398376464844,204.19174194335938,180.01034545898438,25
55.5,38.1,185,145,48.78822708129883,43.12360382080078,196.87274169921875,168.93157958984375,25
57.4,44.64,180,145,39.6072883605957,33.601036071777344,206.01651000976562,187.86647033691406,25
61.1,43.35,200,140,43.68272018432617,37.10346603393555,197.44131469726562,172.0561065673828,25
60.2,45.06,190,110,46.63982009887695,39.50932693481445,192.11764526367188,166.7568817138672,25
55.7,42.4,190,140,45.293418884277344,37.15789031982422,193.56161499023438,165.1425018310547,25
57.3,45.2,195,140,46.95388412475586,38.09906005859375,191.2804412841797,160.6000213623047,25
60.7,48.7,185,160,45.59632873535156,37.343406677246094,194.021484375,166.85470581054688,25
