fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,504,7,0.011940316204170897,0.7608747098037667,0.3015988531131756,12,1.7483260377823318,3.972965205235775e-06,966,9,0.006115310045397042,0.9763178252948562,0.3480726686957534,5,3.956453082141727,2.9962104883142833,74,1138,7,0.00579642413295335,0.1504114957115192,0.6723285797209472,26
2,827,6,0.007638914175526986,0.632708967148798,0.6172384601878356,5,6.101612258773427e-06,0.002333638858640388,917,10,0.0071366638234994124,0.9260786931212168,0.3128182312955702,13,7.833564422763584e-06,5.820726258632859e-06,105,1163,10,0.005710776295194029,0.0018074755258419804,0.8359795477430334,8
3,1010,7,0.006721403988877697,0.8325198974656062,0.4411884816194451,9,3.7134641918817928,0.00021006918369382587,1156,9,0.006494782343330287,0.8878473314070932,0.33045701865222693,6,2.7475075521813217,2.7127051835561455,106,838,7,0.010181202416214213,0.00125616361418959,0.7145682313593827,18
4,725,8,0.00895148799829992,0.8625434986863396,0.6017933445211949,14,3.7243789445775466,7.236124945404819e-05,891,10,0.00898825696470886,0.7188359581352466,0.4417474136851577,16,0.000824002113488453,1.7753354592119414e-05,116,1368,6,0.01585234657687567,3.277931553336336,0.7162187190585391,28
5,739,7,0.006397918810774496,0.9711236425471056,0.3120620401950974,13,0.014163082746982981,1.9925018197987493e-07,842,10,0.007412966032151031,0.8538554508796212,0.3335150230542383,8,2.728639599211215,1.5251648047220079,97,349,7,0.012956530053261216,0.24775713194090296,0.724033742169916,16
