fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,559,8,0.12263697373280644,0.8507599794946945,0.6698238926538889,2,0.0006309596461678964,0.0007267603851980997,557,9,0.0234634064793102,0.9183563403086904,0.5671784665780673,3,8.678879758758639e-07,3.13022165351859e-07,117,361,9,0.005331160359693192,6.195018132205464,0.9924806560665601,10
2,1241,8,0.006043979484437769,0.9607675577629615,0.8443141979221463,5,0.00021165027316005008,1.764923905166099e-06,387,8,0.005314667773462008,0.6789994036409073,0.8995220072587645,10,0.05605974822151053,1.1255512117155516e-05,94,382,9,0.0073926259626890065,7.186340395355264,0.7837908597673231,2
3,333,3,0.0050462504551472475,0.8154902119103792,0.47006486825598537,20,0.006837367993447408,8.196570998479732e-05,633,8,0.007315159450755381,0.6747062816293505,0.343864749570849,5,0.00012287228568771104,0.06095887613622361,75,356,9,0.005046171513261035,8.767784701847663,0.6619436518492375,10
4,408,3,0.011860334131536978,0.970329847714345,0.376218707195353,14,0.0004674125440507255,0.05552868354178726,799,10,0.007530822195471386,0.6576417775387507,0.5292922325187301,18,0.00011656819075637497,0.008492923717716254,123,1020,4,0.006199473131315641,2.2236442046852645,0.9023261259504137,12
5,757,6,0.010372363200547838,0.9325401598382355,0.35935268297323686,17,0.016278290313111014,1.1953905812244735e-06,1407,9,0.01477193349133863,0.6113922074803079,0.6606115651647002,25,0.00024425074037940373,0.0667162595322936,121,320,4,0.0094192468394868,1.1780963605539498,0.9592118324274702,28
