fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,1351,8,0.035225759965624416,0.9718794492812535,0.7627836888478069,4,0.0003725639907804355,0.000654574555684128,1167,3,0.014314789925451878,0.6983905326206209,0.8842928272995714,25,1.8711298569900215e-07,1.1623377676536122,33,413,4,0.06117115508164663,0.0025496538592697095,0.6665113583329091,17
2,398,3,0.020895890025320545,0.8281727862096989,0.3123922448743588,4,0.2881838381457326,1.5055157627994052e-06,907,3,0.021170648640926867,0.8744028660954127,0.3580893573069975,3,0.000244984009827564,0.24058140359639849,17,1041,4,0.008628109307613029,0.011173137208621259,0.948062714482043,25
3,778,4,0.14925144182345443,0.9914816949209608,0.7366729187699952,20,0.024831262601121885,3.144141367017006e-06,1315,3,0.021238592320324764,0.7175554443381701,0.37443148582044905,29,2.3135053034841575e-06,2.129637121371602,112,401,4,0.0722045427742607,1.3692279494570996,0.7810117494194518,28
4,598,8,0.14234909521316227,0.7969011757684392,0.4194176527244122,2,0.024212822950635707,0.0076422292131919185,1289,7,0.011237758946790358,0.6483004004175501,0.3027177599226471,38,0.0005342443134779395,3.0219378507012604,103,1126,5,0.005279955211917908,0.16757166008118815,0.6727913259914026,29
5,922,7,0.007417062468452967,0.7043691786665279,0.3126926606013378,18,0.0004924053359250785,5.877015063273946e-06,914,4,0.006933425650558641,0.6509570744599855,0.32280707684115656,25,0.6100716455410479,0.001357061813841055,80,1338,4,0.005058078196901251,0.006913286310688648,0.6680437095268614,23
