y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
32.2,40.13412990236237,40.51491928100586,38.49296935128397,40.721652957274216,40.74292628822327,15
25.4,36.837821119492375,36.98841857910156,36.188773033632195,36.27932569555388,39.308587328217534,15
27.0,40.20629319341028,40.67118453979492,38.202736762071616,39.26774778729832,39.759606806037546,15
32.2,41.257534090907846,41.63237380981445,39.642057717426134,41.14911258625526,40.141270924359276,15
26.4,42.67505216654562,43.53578567504883,38.96553851825432,40.55596058826608,41.7191681602478,15
30.5,46.10530587330412,45.612369537353516,48.2295746309599,51.5226073983012,44.76684133097332,15
25.7,43.45142382174575,44.386192321777344,39.4228323915844,41.44837079309426,42.05539148089091,15
28.1,46.08402363859204,45.612369537353516,48.11657647200171,51.32468644450078,44.76684133097332,15
29.1,42.36907427558308,42.82084274291992,40.42206721356362,41.72121462416193,41.54761292985281,15
22.355,38.92302954583723,39.396087646484375,36.88428555366774,37.47140209659592,39.60446383518038,15
28.657,41.83368321715796,42.751678466796875,37.87732791226702,41.325328276967035,39.98738785282317,15
21.96666666666667,38.92302954583723,39.396087646484375,36.88428555366774,37.47140209659592,39.60446383518038,15
29.93,39.92893552342103,40.22626495361328,38.64746012228342,40.5410426275154,41.766204272170306,15
28.02,41.557385923614305,42.09819412231445,39.226592420514415,42.07244900455384,40.37128254492624,15
26.67,42.46452180669688,43.03004455566406,40.027222979330716,42.95207282270525,40.295100814193475,15
31.64,42.59387293242693,43.049652099609375,40.62956269983597,42.430596096458636,41.675602584139526,15
35.03,39.82898793246493,40.1568489074707,38.41600903722431,38.77657030328366,39.678605046426696,15
40.55,38.971569910760316,39.172157287597656,38.10710409939211,38.01990183997161,39.81952637536186,15
38.22,39.867773219855934,40.09209060668945,38.901051325103445,38.380156195875216,41.24292589785259,15
31.25,41.65049869461046,42.24812316894531,39.07486054553082,41.586759285272365,40.37346254523141,15
38.98,39.49206817512827,39.29621124267578,40.3362057851682,38.65073894506483,39.747716053735644,15
37.94,42.30226000304246,42.42490768432617,41.77369350149798,42.20262115074361,40.2123990007673,15
36.7,40.7014632130549,40.592132568359375,41.17265492653305,40.56436126193807,41.66447585572743,15
29.73,40.99496685751782,41.3329963684082,39.538114439423765,40.9862542180515,41.82938443134029,15
35.72,40.03321014774988,40.37619400024414,38.55499617390665,40.05535290823393,41.76838427247548,15
33.92,40.78262800484023,41.30604934692383,38.52678138576467,40.20818053590051,42.86168759880067,15
32.35,40.03321014774988,40.37619400024414,38.55499617390665,40.05535290823393,41.76838427247548,15
34.62,39.65503606516367,39.8240852355957,38.92646561944069,39.17970541734742,41.64138585811797,15
24.21,35.64447767425286,36.24187088012695,33.06978849785075,35.66195192297735,39.352817153204064,15
26.8,38.92302954583723,39.396087646484375,36.88428555366774,37.47140209659592,39.60446383518038,15
29.92,36.9155470725331,37.61499786376953,33.901028637231605,36.66141491661629,39.53055502074106,15
34.49,38.62403493525549,39.507423400878906,34.81677092073213,38.91167635254893,39.79035118735179,15
31.21,39.97958061433714,40.8526611328125,36.21676190573441,40.03104217690219,39.93387466191791,15
36.27,35.64447767425286,36.24187088012695,33.06978849785075,35.66195192297735,39.352817153204064,15
34.49,37.6198161722046,38.415828704833984,34.18894136300279,41.952433097159485,42.06402519654857,15
35.72,37.88598967523995,38.45756912231445,35.422414565047696,41.5517765139178,41.377033829461965,15
31.19,39.102635842678474,39.319942474365234,38.16613902803693,37.53403678977573,39.70786825379873,15
35.35,40.032967708761326,40.388031005859375,38.50276346933414,38.356181995123436,41.26279089571635,15
25.72,35.64447767425286,36.24187088012695,33.06978849785075,35.66195192297735,39.352817153204064,15
31.67,39.14320226037547,39.84037399291992,36.13852094631791,38.487136084605645,41.83393871730954,15
31.18,37.87725170043902,38.48484802246094,35.258662359748975,36.4856716066665,39.445973686454415,15
29.4,37.787413756719964,38.5921630859375,34.31893579590547,40.99581013940317,41.386862733506675,15
23.3,35.75271307463154,36.4829216003418,32.60563421537096,35.32059214460599,39.15795244763995,15
35.35,40.032967708761326,40.388031005859375,38.50276346933414,38.356181995123436,41.26279089571635,15
35.35,40.032967708761326,40.388031005859375,38.50276346933414,38.356181995123436,41.26279089571635,15
27.3,39.69488306672904,40.01632308959961,38.30957521155071,38.56843187796602,40.09613243071169,15
36.6,42.6669606986679,43.66012191772461,38.38663756379909,42.81546973964758,39.812999469593606,15
37.0,41.443643160773206,42.33009719848633,37.623227881055456,40.810703675808,39.77809448352996,15
34.1,40.18957276983707,40.66738510131836,38.13031205057982,39.64717496303729,39.961598703401876,15
30.8,42.36907427558308,42.82084274291992,40.42206721356362,41.72121462416193,41.54761292985281,15
29.2,40.021749549297525,40.57779312133789,37.62537394500236,38.21538077805431,39.930703056998475,15
28.2,38.219335587101966,38.483604431152344,37.08043092916791,36.40356389866739,40.9275475184698,15
33.3,35.71057143288617,35.67287826538086,35.87299302851896,35.640399606225394,39.25805886403644,15
28.4,39.44318719183805,39.504005432128906,39.18109387577688,38.8209510725324,39.64354663307555,15
29.6,41.60183077577434,42.015098571777344,39.82077235145123,40.528720698867815,40.62126555860609,15
26.48,40.697157750392385,40.986751556396484,39.44910084004142,39.931014773750405,39.59543015312923,15
38.21,40.54012769398346,40.99327850341797,38.58712868656972,40.5241848081566,40.83322962341309,20
35.2,39.35905264449128,39.70122146606445,37.884424416244485,37.78580642742698,39.787959402511234,20
45.2,40.14875154070484,40.11137771606445,40.30983871645944,39.5772763867525,41.172538185628255,20
36.166,38.69367452500683,38.75096130371094,38.44676353423998,38.88651017478341,39.59214468693508,20
