fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,1082,7,0.01972105454916974,0.8705959417269703,0.8497979512304684,7,3.7083010508479574e-06,0.47317272685255096,401,9,0.08002977737661769,0.9406044650357049,0.6745361374199704,7,0.0066802184918965364,5.817470096759712e-05,86,1422,6,0.02373396065988001,0.019376214074778162,0.6334705849721618,23
2,1167,8,0.006726942354735492,0.8154872151313765,0.8612582166806211,6,2.768670356852922e-07,4.456077843124213e-05,997,9,0.024157097680923112,0.6350104245271827,0.8293101138720178,3,0.026438917751334026,0.4525959148482808,34,750,6,0.04414356922907033,0.011375857421019904,0.8131456629893183,7
3,1208,6,0.00619784496972668,0.7895645931195313,0.8935500339853939,11,0.004141559531860734,0.1478804815452708,504,9,0.010720121231513802,0.6605492951060443,0.8627007901672369,12,0.4619939408152986,0.12517977878853054,31,1277,8,0.020139796657540805,0.005123025098427672,0.6457083665739891,22
4,745,7,0.005945976143688758,0.617120260434516,0.8455772393678255,8,1.4313196106844189e-06,0.005235977586827996,477,3,0.014024872128294041,0.6294558833048877,0.7062412566402693,17,7.449755732884039e-05,0.004461074526166915,100,1379,4,0.007201825275785445,0.005049940020437643,0.8495493732636376,19
5,550,7,0.010596001022141309,0.8233650539919997,0.8907248410075297,8,2.523220669801573e-07,0.0014280542282242314,338,8,0.019301298940210085,0.7744767638530038,0.8327976557577915,5,4.824529119553174,0.2710380796144582,96,1446,6,0.011054641511816569,0.007096141862048287,0.8186096280340779,26
