true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
32.2,25.2,180,115,32.34380340576172,25.06049346923828,108.66763305664062,100.65718841552734,15
25.4,20.0,95,110,29.279598236083984,22.695720672607422,159.05923461914062,150.61508178710938,15
27.0,20.4,150,140,30.31065559387207,24.072826385498047,152.1140899658203,139.55032348632812,15
32.2,27.2,50,115,33.8065071105957,27.305255889892578,155.85830688476562,134.28729248046875,15
26.4,22.1,150,110,27.63994026184082,21.132278442382812,155.0306396484375,142.44662475585938,15
30.5,26.2,120,140,29.78803253173828,25.08436393737793,151.38711547851562,118.83013916015625,15
25.7,18.8,140,100,28.36271858215332,22.020870208740234,161.2991943359375,145.8222198486328,15
28.1,19.2,170,100,30.799911499023438,24.567399978637695,152.33145141601562,145.08164978027344,15
29.1,18.9,175,130,30.568431854248047,24.22803497314453,160.5222625732422,145.15875244140625,15
22.355,18.349,175,145,30.365684509277344,24.39649772644043,162.37786865234375,156.70059204101562,15
28.657,24.302,180,140,25.857765197753906,21.528932571411133,159.2549285888672,147.4242401123047,15
21.96666666666667,21.888,155,140,32.069297790527344,25.235055923461914,154.92156982421875,152.36729431152344,15
29.93,25.7,65,35,34.76096725463867,27.646221160888672,31.1885986328125,31.15428924560547,15
28.02,16.969,62,68,35.23604202270508,28.256160736083984,41.52845764160156,32.41340637207031,15
26.67,19.255,62,52,34.60842514038086,27.199825286865234,38.17864990234375,27.615509033203125,15
31.64,21.604,22,18,31.475021362304688,24.668519973754883,91.21237182617188,75.33181762695312,15
35.03,28.8,77,27,34.01283264160156,25.962154388427734,47.84550476074219,38.50965881347656,15
40.55,35.188,56,40,33.76066589355469,26.077346801757812,42.91575622558594,35.26575469970703,15
38.22,30.097,53,28,32.05320739746094,24.88595962524414,116.34258270263672,96.76405334472656,15
31.25,22.746,45,30,33.74934387207031,25.901092529296875,26.3753662109375,27.632003784179688,15
38.98,30.83,22,20,35.8809814453125,28.80154800415039,62.743431091308594,46.97821044921875,15
37.94,27.05,30,28,35.530975341796875,28.31291961669922,46.628143310546875,38.02721405029297,15
36.7,28.1,27,43,32.4034423828125,25.456371307373047,44.97398376464844,21.74945068359375,15
29.73,21.39,32,34,32.10791778564453,23.997549057006836,48.475921630859375,29.921310424804688,15
35.72,29.75,28,27,34.09455871582031,25.716720581054688,25.693023681640625,20.603546142578125,15
33.92,29.72,23,22,34.1097412109375,25.270618438720703,42.29742431640625,40.9609375,15
32.35,25.23,50,52,34.7867546081543,27.2616024017334,28.326385498046875,31.373085021972656,15
34.62,29.48,23,39,35.79810333251953,28.014057159423828,44.28105163574219,36.53285217285156,15
24.21,19.59,165,168,32.009307861328125,25.23331069946289,157.12677001953125,151.13731384277344,15
26.8,22.09,168,155,31.594724655151367,25.25634765625,158.2379913330078,154.0576629638672,15
29.92,21.57,149,173,26.168563842773438,22.671194076538086,172.25271606445312,169.5968475341797,15
34.49,24.66,156,152,26.07997703552246,21.915294647216797,158.00328063964844,142.01834106445312,15
31.21,22.72,172,146,29.295690536499023,22.816448211669922,165.7003631591797,152.79786682128906,15
36.27,30.09,165,168,33.123565673828125,25.539596557617188,154.28561401367188,149.20123291015625,15
34.49,24.66,156,152,28.506378173828125,21.688091278076172,156.15882873535156,145.43955993652344,15
35.72,29.75,28,27,30.62537956237793,23.576982498168945,163.5561981201172,144.50599670410156,15
31.19,25.85,195,145,35.68154525756836,26.884151458740234,59.339569091796875,39.264617919921875,15
35.35,28.59,200,145,35.32943344116211,29.074932098388672,180.2327880859375,158.9215087890625,15
25.72,19.86,195,170,27.546627044677734,22.30893325805664,168.72088623046875,160.1029815673828,15
31.67,29.12,190,150,29.18419647216797,21.18314552307129,100.74299621582031,99.58012390136719,15
31.18,27.05,200,155,27.781536102294922,21.368314743041992,171.53683471679688,147.15744018554688,15
29.4,21.7,190,155,28.76430320739746,21.35837745666504,125.11744689941406,118.02491760253906,15
23.3,21.9,190,170,29.495338439941406,23.303363800048828,155.3987274169922,146.29000854492188,15
35.35,28.59,200,170,33.68108367919922,27.048744201660156,159.06019592285156,144.16368103027344,15
35.35,28.59,200,155,31.684253692626953,26.714012145996094,183.3751220703125,163.81570434570312,15
27.3,19.3,160,160,29.018783569335938,24.03590202331543,139.46871948242188,125.44357299804688,15
36.6,29.2,165,150,29.019493103027344,23.51133918762207,138.52479553222656,124.1375732421875,15
37.0,31.3,160,155,28.829803466796875,22.18800926208496,159.07183837890625,147.05728149414062,15
34.1,26.3,165,155,29.02014923095703,23.9100399017334,139.3927764892578,126.64374542236328,15
30.8,23.5,170,160,31.285694122314453,23.660289764404297,142.5785369873047,126.88267517089844,15
29.2,22.6,170,160,27.085094451904297,21.546916961669922,145.70350646972656,137.79173278808594,15
28.2,20.5,175,160,27.631488800048828,21.88747215270996,167.6781005859375,164.71189880371094,15
33.3,32.8,140,125,29.665435791015625,23.006689071655273,161.22816467285156,150.05836486816406,15
28.4,26.2,140,125,32.19187545776367,24.462133407592773,109.62692260742188,112.82701110839844,15
29.6,28.84,140,125,31.437185287475586,24.85390281677246,154.1710205078125,142.49685668945312,15
26.48,25.78,140,125,31.168054580688477,25.183147430419922,156.04940795898438,140.43284606933594,15
38.21,25.97,140,155,42.775550842285156,32.891780853271484,155.5560302734375,138.7022705078125,20
35.2,26.3,170,155,27.9385929107666,21.90574073791504,171.83241271972656,170.705810546875,20
45.2,34.9,160,170,35.7182502746582,28.648548126220703,161.64112854003906,164.82992553710938,20
36.166,30.941,175,155,37.96113204956055,28.157974243164062,106.51958465576172,95.56675720214844,20
40.192,34.534,75,45,35.44651794433594,27.612464904785156,45.29133605957031,33.026153564453125,20
38.476,32.292,60,35,35.39665603637695,29.12409210205078,61.440574645996094,37.49348449707031,20
37.365,29.679,75,45,37.61005401611328,29.476024627685547,54.946685791015625,42.20866394042969,20
32.551,31.361,50,50,34.65186309814453,27.15646743774414,75.4743881225586,53.28251647949219,20
28.922,28.043,70,40,37.84944152832031,29.275028228759766,67.3035659790039,47.52363586425781,20
36.375,26.337,75,60,35.487979888916016,27.876972198486328,70.001220703125,44.59394836425781,20
37.59,30.59,75,60,34.89026641845703,28.364044189453125,81.9009017944336,63.77367401123047,20
34.65,33.93,200,165,31.230518341064453,25.65103530883789,168.19993591308594,140.0906219482422,20
34.22,28.66,200,175,31.54403305053711,24.996963500976562,172.0318603515625,161.87228393554688,20
36.8,27.3,170,140,34.30316162109375,26.04551124572754,160.88916015625,137.36212158203125,20
36.7,30.4,170,150,35.418460845947266,25.713531494140625,110.43419647216797,92.51116943359375,20
46.2,38.6,190,150,49.46216583251953,42.723323822021484,207.71051025390625,169.12686157226562,25
55.5,38.1,185,145,49.32666015625,40.44719696044922,186.3245086669922,167.6093292236328,25
57.4,44.64,180,145,40.080596923828125,32.63717269897461,212.01458740234375,175.43504333496094,25
61.1,43.35,200,140,43.6297607421875,36.07143020629883,210.80772399902344,179.37831115722656,25
