y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
180,179.136108358749,177.43849182128906,169.4819309006744,179.13626403392942,172.0420000000001,15
95,185.56044731960057,183.6094970703125,178.68853549952289,185.5606245539633,187.2430714285714,15
150,183.67503778515012,183.6704559326172,184.36561638285133,183.6750379215364,186.3009047619048,15
50,178.01539789175348,175.33871459960938,169.10850411304264,178.01564084940392,168.5727380952383,15
150,187.33722975620353,188.35247802734375,184.14612826667783,187.33714020484365,185.9848333333333,15
120,188.2528446678771,188.65235900878906,189.90217747668277,188.25280827810596,187.4083333333334,15
140,187.17975073866666,188.32469177246094,184.22966998913546,187.1796494907761,185.8838333333333,15
170,188.23729208525344,188.65235900878906,189.90217747668277,188.2372542981349,187.4083333333334,15
175,184.31334646141494,185.28207397460938,186.649707101394,184.31325888311665,183.7373333333334,15
175,184.19642264649195,183.6296844482422,190.91084520924795,184.19647068332586,190.6292380952382,15
180,183.65416403469536,183.68890380859375,188.51203277507977,183.65415900394194,187.29640476190477,15
155,184.19642264649195,183.6296844482422,190.91084520924795,184.19647068332586,190.6292380952382,15
65,180.61532563641683,176.82400512695312,179.7903720024365,180.61566509961483,173.33746666666673,15
62,179.5872427037594,176.10098266601562,175.64445729432688,179.58755611333834,173.5211666666667,15
62,177.94867035546946,175.6136932373047,172.4207202462048,177.94888140960194,167.83992857142866,15
22,177.43970455089516,177.36654663085938,173.73067914582532,177.43971256344304,171.29533333333342,15
77,179.46336372855296,179.96002197265625,175.0073187543198,179.46332106660122,164.84979523809537,15
56,181.15120506312928,179.99530029296875,181.81781222154214,181.151308195905,176.11340476190483,15
53,180.23187940048825,183.85020446777344,180.5075970884228,180.23155562979406,169.97203333333343,15
45,181.82583509890037,180.47764587402344,182.4397668989365,181.8259554524741,178.22500000000002,15
22,182.20665173689687,181.10789489746094,173.5475944264256,182.20675344950754,181.3450714285716,15
30,182.12175871435565,181.60543823242188,174.69965355235826,182.12180783793292,180.70673809523814,15
27,182.73474654660333,182.24468994140625,187.17886547755728,182.73478862327576,179.11517142857153,15
32,183.4284182148893,181.16539001464844,182.5428402439933,183.42862099516896,177.86222857142872,15
28,182.92421619507525,181.20066833496094,185.86688920856213,182.92436920287656,178.18000000000012,15
23,185.4242852559722,185.0555877685547,193.40117550591967,185.42431507832882,184.84910000000008,15
50,182.92421619507525,181.20066833496094,185.86688920856213,182.92436920287656,178.18000000000012,15
23,182.7408178413571,182.24468994140625,194.8086488800539,182.7408574430066,179.16583809523826,15
165,184.28733871843352,183.64651489257812,190.44711720877615,184.2873936018495,190.94057142857145,15
168,184.19642264649195,183.6296844482422,190.91084520924795,184.19647068332586,190.6292380952382,15
149,185.042777876513,183.68701171875,180.3110446521591,185.0429010239478,187.14240476190477,15
156,183.76172406172282,183.7057342529297,186.85682129912615,183.76172784466138,186.99603809523808,15
172,184.34973452657786,183.74623107910156,179.57256167006773,184.34979040170793,180.9005619047618,15
165,184.28733871843352,183.64651489257812,190.44711720877615,184.2873936018495,190.94057142857145,15
156,185.1455315837686,184.32672119140625,183.34405547101363,185.14560554020503,182.68253333333325,15
