fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,732,8,0.006199677448717413,0.8483873749290819,0.7525175591248594,5,1.4628738756467134e-05,3.3905138605782324e-06,634,5,0.012545403267713343,0.7927324062931284,0.5127881842438688,8,0.18170887407639202,0.5912422089665135,80,554,9,0.027728997572632298,1.36323558791275,0.6285279857759846,14
2,461,8,0.005971363895206867,0.8804730446897512,0.7231548284383161,1,0.027900499673957094,3.2373774627211853e-07,917,7,0.005855754977762046,0.8430179407605753,0.40231447421237493,5,2.02041827845163,2.718767425620064,106,909,4,0.030657787433666116,0.13028488896337742,0.6145994050149939,17
3,1131,5,0.007591881271770007,0.9509892037950447,0.781162140520711,3,1.0663761310983658e-05,1.072372222014448e-05,843,9,0.005472646801006091,0.8403372197380267,0.614245408639682,4,0.04026882343517155,1.0442979255461394e-05,110,1339,8,0.007414741198851286,0.004464958861040682,0.9299495972325094,1
4,1087,6,0.00690491641892704,0.9808464197723272,0.7756469164046037,13,2.133331717758637e-06,8.031612166479654e-06,985,7,0.005208558255087763,0.8175519993534315,0.44680597879829465,9,0.014506123299858332,0.0481905218594983,86,1245,5,0.01328682252409677,0.011418427928803088,0.7239906820676809,26
5,720,5,0.0081421891991339,0.6981617969016038,0.795421840589934,1,0.045627519142804426,8.521487626202343e-06,778,7,0.0058768363020505685,0.88987454683296,0.5055614843742496,4,0.5117432618153008,0.8877899588801629,124,1198,5,0.013666390051497048,0.023974763055583524,0.6730479408854833,14
