fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,821,8,0.006113991569638665,0.9371752528516538,0.8210231042847649,6,1.576347854859582e-07,1.744521169650458e-06,481,7,0.01062535601717845,0.6848628352053937,0.8501902680499561,5,0.08061129687772138,0.3562231599216328,34,1259,6,0.020459664045316378,0.8374523539149157,0.8174232391195736,29
2,1291,7,0.008253179219317302,0.6984784445744151,0.8854518740484477,2,7.997593320176783e-05,0.10851951473440367,402,6,0.024539282349374743,0.6726306206572348,0.8864423214771533,12,2.196060706893279,0.00615982975830574,28,961,6,0.032226475324137374,0.0013835586691870573,0.6268117523955841,11
3,1449,6,0.011412177129351527,0.7092360646899974,0.8751259946240451,2,9.186958868990485e-06,8.693204653487097e-05,453,10,0.02038684438557326,0.8037819748347597,0.8649795021394927,5,0.00011809271626533671,0.00867379760984359,22,1245,7,0.01923816395791126,0.003341942336058305,0.6284253939136184,12
4,929,8,0.005855764282090743,0.7471618254068276,0.8681951573225256,2,3.1140450351312845e-05,0.05500452693556925,549,10,0.007267337406696818,0.8497359624373064,0.8925655547863734,7,3.641995767879148e-07,3.1857571570758137e-07,93,1222,5,0.029664874709052363,0.004540715922043064,0.9492577807333121,12
5,1283,8,0.0068833204458452245,0.7018011669154073,0.87587365927205,4,0.00041681528193528215,0.0017171529572336647,619,8,0.00952128923649845,0.905744162346595,0.8657134450302435,3,5.594563731233834e-07,1.824511457859976e-07,117,1167,7,0.02181548367293061,0.02846638018503409,0.6200134941797175,12
