front,n_candidates,n_nondominated,cement_min,cement_max,fc28_min,fc28_max,eff_min,eff_max,mahalanobis_threshold_chi2_95_df3,pct_MC_in_domain,pct_training_in_domain
Published (marginal bounds only),8192,67,290.0833833806208,487.43726640833876,39.85292267417986,62.803328344162345,0.12429334700925834,0.14327248375998752,7.814727903251179,35.55,91.800878477306
With applicability-domain filter,3555,61,290.0833833806208,488.2000496152977,39.85292267417986,62.321149127089,0.12458731717534866,0.14218787540213174,7.814727903251179,35.55,91.800878477306
