shap__Concrete_Class,shap__CA,shap__FA,shap__Cement_Content,shap__WC_Ratio,shap__Admixture_Dose,shap__Strength_7d,shap__Slump_30,shap__Water_Content,shap__Paste_Volume,shap__CA_FA_Ratio,shap__Agg_Volume_Frac,shap__Admix_pct_bwoc,shap__Admix_per_Cement,shap__WC_Ratio_sq,shap__WC_Ratio_inv,shap__log_Cement,shap__Cement_x_WC,shap__Bolomey_Feature,shap__Concrete_Class_sq,shap__Class_x_WC,shap__Class_x_Cement,shap__Cement_sq,shap__CA_FA_x_WC,shap__Binder_Intensity,shap__Gel_Space_Ratio_28d,shap__Slump_Retention,shap__Slump_Loss_Rate,shap__Cement_Freq,shap__Admix_Freq,val__Concrete_Class,val__CA,val__FA,val__Cement_Content,val__WC_Ratio,val__Admixture_Dose,val__Strength_7d,val__Slump_30,val__Water_Content,val__Paste_Volume,val__CA_FA_Ratio,val__Agg_Volume_Frac,val__Admix_pct_bwoc,val__Admix_per_Cement,val__WC_Ratio_sq,val__WC_Ratio_inv,val__log_Cement,val__Cement_x_WC,val__Bolomey_Feature,val__Concrete_Class_sq,val__Class_x_WC,val__Class_x_Cement,val__Cement_sq,val__CA_FA_x_WC,val__Binder_Intensity,val__Gel_Space_Ratio_28d,val__Slump_Retention,val__Slump_Loss_Rate,val__Cement_Freq,val__Admix_Freq,y_true,Concrete_Class
-0.241255624470363,-0.08889711122608553,0.06305343876156115,-0.29959523297446455,-0.38683785819947786,0.08069887278559845,-11.933515899322419,0.16946463517339258,-0.13913520043835326,-0.023052451367495563,-0.06549470096974017,0.0,0.20594643662793458,0.48808395245344655,0.006074957619015893,-0.40125942890154326,-0.04238882664676119,-0.3728973692219319,-0.3989538689253597,-0.5325187563191977,0.12611485386041024,-0.357186354817571,-0.21055032340447447,-0.3180173076404901,-0.15342200642805312,-0.6314056983946466,0.9410814365055084,0.4006505724723187,0.5627928161601579,0.7322720458706362,15.0,58.0,42.0,360.0,0.4489000141620636,0.699999988079071,25.200000762939453,180.0,161.60400390625,275.88970947265625,1.3809523582458496,1.0,0.007000000216066837,1.9444444179534912,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.6199095249176025,24.0,0.7403106689453125,0.6388888955116272,1.0833333730697632,0.17483660578727722,0.33169934153556824,32.2,15
-0.3067642548536838,-0.0973594666741319,-0.10844212744017034,-0.2951516139736376,-0.3551701139264368,-0.04567745051554905,-12.294206333177213,0.3728003952196119,0.05250362089037737,-0.22202695254004118,-0.08026272097706814,0.0,-0.011924521836597377,-0.16152865994109422,-0.059879545739286104,-0.40848545959025667,0.012968820770231019,-0.13224385076662817,-0.4450684048266432,-0.5687754190371515,-0.2472826145918574,-0.2239154190446495,-0.29546413290930135,-0.08006482733836082,-0.19092832282555167,-0.3764463115695657,0.24298928987149107,0.3018537390966099,-0.4018864199930236,-0.017875830651180393,15.0,58.0,42.0,360.0,0.4489000141620636,0.8999999761581421,22.18000030517578,95.0,161.60400390625,275.88970947265625,1.3809523582458496,1.0,0.008999999612569809,2.5,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.6199095249176025,24.0,0.7403106689453125,1.1578947305679321,-0.25,0.3104575276374817,0.14869281649589539,25.4,15
-0.3071277000730882,-0.05981509186689362,-0.06629674823497503,-0.308233526439997,-0.37604536988530674,0.22365449041137522,-12.93021153988356,0.42266993381043794,0.09081466829242929,-0.04766939479601639,-0.06282940232882663,0.0,0.3145729377575784,-0.4421591399755413,-0.05694008472380398,-0.40676978320950985,-0.0013130478242121798,-0.1863463686899192,-0.3578672933043646,-0.5732350220946936,-0.20393325043423358,-0.36910241007640393,-0.2591656807086896,-0.2684283211688362,-0.1900109998564533,-0.5916660885734172,-0.33796941741606273,-0.04502321686488342,0.25188531958504307,0.1561453180219054,15.0,58.0,42.0,360.0,0.4489000141620636,1.0,22.18000030517578,150.0,161.60400390625,275.88970947265625,1.3809523582458496,1.0,0.009999999776482582,2.777777671813965,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.6199095249176025,24.0,0.7403106689453125,0.9333333373069763,0.1666666716337204,0.17483660578727722,0.057189542800188065,27.0,15
-0.23933574033298785,0.08758768922348723,0.01889211718769579,-0.3929966565230085,-0.3272920910471441,-0.0297433564001746,-7.9272828725880355,0.4855871694705413,0.22333228002243866,-0.07622795416678112,-0.00833595920063958,0.0,0.0887642118760844,0.3508217303093804,-0.4488265503067089,-0.4608740571432061,-0.014846063089527755,-0.11525833258532903,-0.4593372546737883,-0.4267933057521525,-0.19842835793054792,-0.28582217766840307,-0.28568621708288555,-0.016122277724472563,-0.2062619801205646,-0.6344998185057105,0.6240710778719814,0.27357772849550216,0.2933243502726018,0.13859490317290607,15.0,60.0,40.0,360.0,0.4489000141620636,0.699999988079071,27.200000762939453,60.0,161.60400390625,275.88970947265625,1.5,1.0,0.007000000216066837,1.9444444179534912,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.6733499765396118,24.0,0.7403106689453125,1.9166666269302368,-0.9166666865348816,0.17483660578727722,0.14869281649589539,32.2,15
-0.2993477628702791,-0.05648285527049205,0.14540232616982693,-0.3247448589006535,-0.3578083389897679,0.15980004959299016,-12.768198822514655,0.05462374302110616,-0.049881942891532784,-0.13426083067619915,0.0016769930597993104,0.0,0.36224923094822353,-0.45842774483255877,-0.08071498665753794,-0.4026541239911784,-0.02685184614758992,-0.30019105045655475,-0.37661085174917663,-0.5696217663352331,-0.10332736464339992,-0.36420994941060614,-0.2546696093445061,-0.32684553511730524,-0.1932998703636451,-0.5868116340887111,0.19011713627905896,0.09553728179143166,0.31154734457641925,0.48355805767427334,15.0,57.0,43.0,360.0,0.4489000141620636,1.0,22.18000030517578,150.0,161.60400390625,275.88970947265625,1.325581431388855,1.0,0.009999999776482582,2.777777671813965,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.595053493976593,24.0,0.7403106689453125,0.7333333492279053,0.6666666865348816,0.17483660578727722,0.33169934153556824,26.4,15
-0.29755640374075676,-0.10856809126840397,0.06441833120467458,-0.3766147483883168,-0.3803266211917344,0.31958528950246595,-11.446031917919571,0.1386401883078552,0.09688791810493913,-0.16399534362573628,-0.06402939871912892,0.0,0.43440474492103215,-0.33773834895316734,-0.484210036552951,-0.3698747266211527,-0.11351405202084022,-0.24242205231330663,-0.35483654487504235,-0.4918839238635125,-0.12122157121281321,-0.27887632853025085,-0.3166811666411172,-0.08820496745707336,-0.1540592325929183,-0.6469949508877375,-0.04097632842138621,0.06071865191601392,0.8192844260916173,-0.002525061951608981,15.0,57.0,43.0,360.0,0.4489000141620636,1.0089000463485718,26.200000762939453,120.0,161.60400390625,275.88970947265625,1.325581431388855,1.0,0.010088999755680561,2.802500009536743,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.595053493976593,24.0,0.7403106689453125,1.1666666269302368,-0.3333333432674408,0.009803921915590763,0.33169934153556824,30.5,15
-0.2993477628702791,0.01199766135820308,0.1425577417267896,-0.3274376070049111,-0.3411322080831909,0.2134358300071184,-12.597557905677537,-0.05269365694688962,-0.05449752460522609,-0.13546825435312027,0.0016769930597993104,0.0,0.4464874302746604,-0.40923425169908745,-0.04843311240113641,-0.4026541239911784,-0.026514596868915538,-0.30806922190389513,-0.38559188655252613,-0.5696217663352331,-0.09762119871453308,-0.3703934571008052,-0.2543946655584402,-0.10110054546125759,-0.28973450413906376,-0.5854245791653058,0.44206671718090007,0.10862464719479945,0.3218326718317105,0.5809515380389236,15.0,56.0,44.0,360.0,0.4489000141620636,1.0089000463485718,22.18000030517578,140.0,161.60400390625,275.88970947265625,1.2727272510528564,1.0,0.010088999755680561,2.802500009536743,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.571327269077301,24.0,0.7403106689453125,0.7142857313156128,0.6666666865348816,0.17483660578727722,0.33169934153556824,25.7,15
-0.2993477628702791,-0.04262358079394819,0.16218357190484137,-0.32642340907498724,-0.34553368219198977,0.19199666417314634,-12.945188065709742,-0.11270436769200354,-0.027540404037246915,-0.0476870238931252,-0.037248390120702794,0.0,0.3333403344599991,-0.40674324244065185,-0.05453718115080127,-0.37346870110727315,-0.09881524490675793,-0.27551458374700827,-0.33527471390163455,-0.48837172951812136,-0.2066425223518089,-0.4097843170709313,-0.271385868596096,-0.334558484145791,-0.08820960053757687,-0.5620210779606508,0.7094817636221726,0.4896271624659281,1.2654378610555383,0.6630836860445577,15.0,57.0,43.0,360.0,0.4489000141620636,1.0,22.18000030517578,170.0,161.60400390625,275.88970947265625,1.325581431388855,1.0,0.009999999776482582,2.777777671813965,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.595053493976593,24.0,0.7403106689453125,0.5882353186607361,1.1666666269302368,0.009803921915590763,0.33169934153556824,28.1,15
-0.27403143321132367,-0.08612347513226949,0.07009138403277759,-0.28410396127037574,-0.4199290338363995,0.004759793158858092,-12.28734104546489,0.1400258904876262,-0.11937386359450547,-0.043804414871967186,0.03451149009639995,0.0,0.23390637927708297,-0.3184376234480511,-0.07128749229018971,-0.450189499321386,-0.004855838649005498,-0.4191004038303089,-0.40032884409883435,-0.5494292489527113,0.06399064423767707,-0.3476658862327563,-0.2277263561395549,-0.2811113313798046,-0.1834755603393599,-0.6382963315908522,0.11118522352048128,0.13314888597381236,0.5564650582291918,0.5581251618880914,15.0,57.0,43.0,360.0,0.4489000141620636,0.800000011920929,22.18000030517578,175.0,161.60400390625,275.88970947265625,1.325581431388855,1.0,0.00800000037997961,2.222222328186035,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.595053493976593,24.0,0.7403106689453125,0.7428571581840515,0.75,0.20261438190937042,0.33169934153556824,29.1,15
-0.2993126065721922,-0.0023578909406746056,0.013466920809437465,-0.30775098069990364,-0.3036798336766872,0.2238980518659752,-12.550452619910608,0.06853481560142044,0.05028876656632308,-0.11309768430766945,-0.0018912818494971843,0.0,0.3688861590410407,-0.39718156861010795,-0.07850379698236158,-0.41848042994859164,-0.01500299745093738,-0.16897122998611827,-0.37196462047891593,-0.5565135690260947,-0.06787028464484633,-0.3152669158113124,-0.24846484907244198,-0.10331233966122431,-0.2043462814280413,-0.33978464857303997,-0.03398327850043661,-0.20486242449719513,-0.5047507965945942,-0.08080190048467538,15.0,56.0,44.0,360.0,0.4489000141620636,1.0,22.18000030517578,175.0,161.60400390625,275.88970947265625,1.2727272510528564,1.0,0.009999999776482582,2.777777671813965,0.2015112042427063,2.2276675701141357,5.886104106903076,161.60400390625,1.7276676893234253,225.0,6.733500003814697,5400.0,129600.0,0.571327269077301,24.0,0.7403106689453125,0.8285714387893677,0.5,0.3104575276374817,0.057189542800188065,22.355,15
