y_true,y_ens,y_XGBoost,y_LightGBM,y_CatBoost,y_ExtraTrees,Concrete_Class
32.2,29.036413167895372,28.907451629638672,29.15455792536978,29.169017502868627,28.605765694999683,15
25.4,28.39000983368551,28.98459815979004,28.75457629689044,28.116637222477173,28.46982341766356,15
27.0,32.32788136849886,31.196008682250977,31.538773388573055,33.2165610733459,33.37755294481917,15
32.2,31.342934984366263,30.806116104125977,30.454232133379048,31.815407435693814,30.01991852792104,15
26.4,28.776883710938915,29.554157257080078,29.78219172845334,28.41949894569708,29.607485097249366,15
30.5,30.04568694235851,30.660064697265625,30.612076621854573,29.666616488375006,28.05279682057698,15
25.7,29.71012483609638,30.432048797607422,29.543136436403714,29.479246739298645,28.669455060323138,15
28.1,30.141156912402753,29.825605392456055,29.57950629564414,30.465703599174596,28.343733154296867,15
29.1,31.69439249509935,31.599138259887695,31.99804095703911,31.741491801418245,31.1029181321462,15
22.355,28.01383088453929,28.094680786132812,28.520606167524825,27.93064203516814,27.410841523488372,15
28.657,28.507785595287533,28.908601760864258,27.82758703339687,28.624400781796872,30.578714186668424,15
21.96666666666667,33.7065538577773,34.18539810180664,34.46812522443117,33.21406867961359,35.557450043996205,15
29.93,31.13482820005027,30.717836380004883,30.77563713510181,31.37631271854816,32.83018226242066,15
28.02,31.984887549955605,31.07752799987793,31.266066334787443,32.40206884277432,31.614457779248546,15
26.67,32.83820400432776,31.504398345947266,31.569496601850904,33.45147028112979,31.649166442235302,15
31.64,29.506920602150583,29.623046875,29.35141675067747,29.387519577326287,28.189187534650152,15
35.03,34.85059688399832,34.85184860229492,34.38255446375167,34.722333879575686,37.61225728861489,15
40.55,34.83527672954205,34.79317855834961,34.472755242649235,34.73524541455828,37.70534060160318,15
38.22,36.25703561827365,36.086700439453125,36.39883506766861,36.432182711396436,37.71381922149662,15
31.25,35.878127718307894,36.5295524597168,36.36781427386845,35.37616388714389,35.93518344853714,15
38.98,37.92247066928177,35.46244812011719,36.70530996461465,39.053519463271094,37.09670588595071,15
37.94,36.28845532730821,35.204715728759766,35.41054387952291,36.78675834150206,34.667934862336665,15
36.7,35.01395234658306,34.99863815307617,35.143015495534684,35.02968819147904,34.80134614671068,15
29.73,34.501638402787414,34.936771392822266,34.8361517997513,34.05414483637152,34.143212407429964,15
35.72,34.44324804211393,35.57745361328125,34.94564460417009,33.699095669743116,33.12082545789073,15
33.92,35.882918082319144,36.51243591308594,36.16978113748366,35.49445454197015,33.8420409278869,15
32.35,34.93217823385227,35.44886016845703,35.32185833243567,34.560819067247074,34.396549659601796,15
34.62,33.74332180297585,34.509613037109375,34.55799504370343,33.391006069683314,33.7417824678513,15
24.21,30.140161024728215,30.482284545898438,30.39703628235022,29.78831857672776,32.039119232177725,15
26.8,31.87562882180006,32.00922775268555,32.1836106941723,31.738215061419474,32.02875123723347,15
29.92,27.692557278223177,27.340394973754883,27.209051355612882,28.119964490995084,25.991729264259366,15
34.49,31.440583071549014,30.64337921142578,31.847077819564785,31.622321469764344,30.430233349482236,15
31.21,31.04000012189288,29.777816772460938,30.973369348272197,31.620288682881643,31.704067743110667,15
36.27,34.043645779593724,34.81302261352539,34.88679293810676,33.25238783091541,37.2822723442714,15
34.49,29.741571916062778,28.185279846191406,28.44872349646317,30.457109090547803,29.438001825269126,15
35.72,29.34539615163416,28.10154914855957,28.48767851104402,29.917270522003317,29.493209147707685,15
