fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,691,7,0.007161337146364998,0.639596327374951,0.7683261335176206,16,2.2918021727297363e-05,0.6570629203501418,955,3,0.006306321998425648,0.7565084238905866,0.8750081169033692,21,0.0020250530021753074,0.0015921121956575769,86,925,5,0.006910644798320193,0.7297027867120567,0.9167299226664818,24
2,345,4,0.011548698730820086,0.790945728525413,0.8916510386045128,10,7.293179443656111e-07,0.018905365863832974,503,4,0.007017691099345586,0.8385147018187982,0.8932774528213758,12,0.06998689276628418,0.1043735019554987,35,1234,8,0.014274293672865649,0.021684501916707892,0.6382657033518305,21
3,1319,5,0.0053105399066307535,0.7790578264343749,0.7546719156126944,18,0.000359324973529974,1.4450458891388012,441,3,0.019056639627218395,0.6414456071343052,0.898205444119067,17,0.045335495273789904,0.03162876260152117,67,1045,5,0.006786053134283959,0.0030515134207608594,0.9182148362020707,12
4,926,3,0.005130231413490332,0.6859257761228083,0.8042801379039234,10,0.0004026934616524574,0.349716442309421,819,7,0.005580808454699078,0.6743823369778911,0.7279468515898867,24,0.00016798836106393682,1.2044284306832398,77,1206,4,0.009780808134104323,0.014041944001879796,0.6695286138103669,12
5,580,3,0.007693852496586989,0.6583456486939284,0.8810002686211728,17,0.00011182948826463868,0.7230502057301023,1447,3,0.0068205948189012785,0.7387351608158063,0.6959754050541475,21,0.07994912361785737,5.4484376366452464e-05,87,1436,4,0.0059049093654231916,0.08760454915559387,0.6297023900749557,25
