configuration,scheme,n_features,R2,RMSE,MAE,MAPE,dR2_vs_full
Full (30 features),Standard 5-fold,30,0.9173393427827624,3.1335698297959107,2.2070563610721106,4.82073761868655,0.0
Full (30 features),GroupKFold,30,0.8130148935734507,4.7129567910089305,3.6871847026145304,8.405160800424504,0.0
"No f'c,7 (29 feat.)",Standard 5-fold,29,0.7697552137811167,5.229797251294033,3.7578508747170747,8.309799340960272,-0.14758412900164575
"No f'c,7 (29 feat.)",GroupKFold,29,0.5669852467097413,7.17201677893675,5.613676622940056,12.60736514054081,-0.24602964686370943
