fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,521,6,0.007720559285371879,0.8747738533125852,0.8287862472146847,6,0.0008221303135699325,6.680349521198677e-06,562,10,0.12529075567865017,0.8504106451616321,0.8215242657412329,6,1.2626500948296605e-05,5.2979552420238164e-05,105,665,4,0.0512466110846208,0.057624872164786026,0.6488152939379115,15
2,1470,3,0.013436441605696257,0.9620989032013003,0.8984274542427686,8,0.00012188553485177652,1.6982348770479909e-07,475,3,0.05898013964227848,0.7840448599936644,0.6628746036580142,6,0.6160394920432466,0.05736382355834974,49,778,4,0.05489168915751354,0.02150317668497665,0.6665118535801279,15
3,324,5,0.020450902092161997,0.7156989985811429,0.7784875230504248,10,7.208064126980312e-07,1.1853780034844351e-06,528,10,0.08463217558054967,0.6949861828937094,0.6910497475974097,3,0.06171084562520468,5.9997812772530975e-05,20,1475,5,0.021666181293979035,0.04571754062775443,0.7089427787239166,10
4,316,6,0.051481833111807276,0.6268688193921865,0.8944736520039265,6,0.00668206746790025,6.55870024837446e-06,426,3,0.03987130973807392,0.6541697496110869,0.7808443914175787,8,0.005896238399568339,0.27972950798920654,27,865,4,0.1489784416436506,3.848007965711489,0.7889715804367214,14
5,824,7,0.008654715188577513,0.9225121506557404,0.885596041509127,15,1.7332104147475808e-06,0.03161221120675408,567,3,0.013218895388145049,0.8082908692253121,0.89449859682977,15,0.0004157994148020189,1.7803015781513223,51,1042,4,0.020702635403157196,0.004499266342652892,0.6903702967459706,7
