fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,1149,7,0.010894856756156226,0.9091628491086391,0.886899684604303,7,1.2064720157794232e-06,0.07557621404054916,566,8,0.018619012119521664,0.6372754157154806,0.8418418374323714,11,0.5412033728092419,0.040956365166307664,40,784,7,0.04053862253085536,6.68155924407113,0.7623240679826454,15
2,1263,7,0.006646819219131784,0.7486311216536723,0.8920526429775535,3,2.3286135507550734e-05,0.016816554375490466,740,6,0.024476777119814868,0.7645623066692038,0.8951536179966517,13,0.0010007664571390505,0.00012393832908859554,41,1147,5,0.031212151460455372,0.010119804229192321,0.8277501273373326,19
3,880,6,0.007227487935708472,0.7541094554923176,0.8913895748874359,1,1.6168394802644729e-06,0.05432750621723995,488,5,0.00905318355368803,0.66343569258835,0.8818882770059099,15,0.004751381657267245,0.7929516149354846,49,1091,7,0.022338469993170462,0.004273928330487369,0.7192882281687605,15
4,1159,3,0.005702895204151376,0.6609918023302903,0.7550701827712845,1,0.004396273759994389,0.0008814435365437617,1269,3,0.010034574598739732,0.8040824259745245,0.7434790983463672,28,0.029074096425518992,0.17800030883518636,40,1264,6,0.007515533023817092,0.004267420778833474,0.85187062025647,21
5,943,7,0.0066712755544233665,0.7199341958735631,0.8899273623066868,3,0.00013069325209762685,0.12216885347562831,961,8,0.007166180637654361,0.6260707402080784,0.8945002480079983,11,0.9723943768303822,0.05512010366815176,43,1055,5,0.013182887262024818,0.02997526159387343,0.6943227507745509,24
