fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,433,7,0.02054069904511987,0.7529267289749874,0.3102715925791208,8,7.148457616468849e-06,2.8733150250428364e-06,531,3,0.09152014635935753,0.8700537907569407,0.3117160315302953,7,1.4975046640049916e-06,1.2585508123128463e-06,44,1004,4,0.13187018383617696,6.592205270372943,0.8373177452509106,26
2,416,7,0.09332226179740023,0.849739962937358,0.36409262163517714,1,0.014708596450857652,1.0080713620410514e-05,1427,3,0.02606165099558019,0.9936036977728377,0.5011347504045778,27,2.5980465555683694e-05,1.59535164313845,106,463,4,0.13136370051314647,3.1160661892599597,0.9255330766344354,24
3,345,3,0.02215150901919312,0.9118720105877743,0.3764721303055267,14,0.0032824167375566033,5.075012653022344e-06,662,10,0.014790950981866974,0.9294983522120918,0.4292906762893618,6,0.7962699594459534,0.027979251115928767,106,579,4,0.023786044656657596,0.001176559729217456,0.7044756376614927,11
4,432,8,0.039817303782234165,0.6761080532155644,0.3617023690005454,16,0.02510777198818957,0.00010428682568170469,768,3,0.10638075665882489,0.8163193047203879,0.3244922987215937,26,3.2097761691063022e-06,1.0227846236441969,43,393,4,0.14593357360068845,0.28278136689747957,0.7286476232109544,19
5,843,7,0.007892535465444253,0.843950250721667,0.40420299863924675,17,8.972341127307213e-05,0.00018955988648059767,828,3,0.015088708758168177,0.7726851768651084,0.6782138498976968,30,0.009826023219999123,0.13497251895418005,56,817,4,0.10062355263785701,6.4212584299469,0.7028070628109524,14
