fold,xgb.n_estimators,xgb.max_depth,xgb.learning_rate,xgb.subsample,xgb.colsample_bytree,xgb.min_child_weight,xgb.reg_alpha,xgb.reg_lambda,lgb.n_estimators,lgb.max_depth,lgb.learning_rate,lgb.subsample,lgb.colsample_bytree,lgb.min_child_samples,lgb.reg_alpha,lgb.reg_lambda,lgb.num_leaves,cb.iterations,cb.depth,cb.learning_rate,cb.l2_leaf_reg,cb.subsample,cb.min_data_in_leaf
1,774,6,0.009874124035521617,0.8601433825072731,0.35787600358473626,19,0.0002049176619684446,7.744332918596479e-05,1321,4,0.009849059057099284,0.8591729834657806,0.40850752351076436,6,3.575962839793504,0.8129211852223158,117,985,4,0.016788803032114153,0.003195990572606276,0.7114154563001401,15
2,702,7,0.008300155667655238,0.9980595316503756,0.40381093879665203,12,3.1811205402053524,2.9396432319052303e-05,900,7,0.005668950935368218,0.9404701765198963,0.4185747702031684,8,2.6264247228798947,0.11598587103323678,108,924,7,0.011546379572857613,0.0292215054758932,0.6397334858777666,26
3,642,5,0.009212435820169939,0.8959929051407395,0.31175528821285364,15,1.1366234794566583,7.740631173227313e-06,702,6,0.006370273910740483,0.9938435457724647,0.40313391978574376,15,0.23612429319582798,0.17801931948632083,108,1466,4,0.011457847276675918,0.0016742659637649288,0.8034449198405307,19
4,945,7,0.007543570945780406,0.9120242694990143,0.714893354599506,20,4.578439685916873,2.9863614027493908e-05,565,7,0.008166020079757383,0.7829014131872224,0.3916628523471424,10,1.333963646961151,0.7119123391134057,95,1382,5,0.009276676051596723,0.04516224571121843,0.9201812636618529,18
5,334,8,0.01392441457923705,0.8993845127518822,0.3216276677393149,12,1.7301954798314206e-06,1.3407825533642412e-06,917,7,0.005855754977762046,0.8430179407605753,0.40231447421237493,5,2.02041827845163,2.718767425620064,106,888,4,0.03428177850284908,0.0013130972361636202,0.6981760006575486,2
